time_real,4.06.1+multicore+scheduling+bench,
almabench,1674379095.33,4192850.76769
bdd,205367480.5,816844.084557
cpdf-merge,5354714909.,nan
cpdf-reformat,7598478759.,nan
cpdf-squeeze,11522542623.,2119459.23851
cpdf-transform,2125220722.5,26484633.4065
jsontrip-sample,17696857.8194,306824.909259
kb,462756725.778,4245684.19946
kb-no-exc,297837803.,nan
lexifi-g2pp,9832228146.33,42065974.3929
menhir-fancy,15366075.4904,1615967.00796
menhir-sql,3291347787.,nan
menhir-standard,11435734.4943,75760.7533859
minilight,14545564717.,35019062.6308
numal-durand-kerner-aberth,82095658.6531,234912.589213
numal-fft,2322099550.,10546493.3682
numal-k-means,89719799.2,792172.163492
numal-levinson-durbin,1518191293.33,644759.580767
numal-lu-decomposition,854170931.4,3288235.04681
numal-naive-multilayer,2500340636.5,2099115.06931
numal-qr-decomposition,1146536723.5,1126234.45093
numal-rnd_access,5374571789.,89864167.189
numal-simple_access,2212965186.5,403963.740131
sequence,815128001.4,379482.025672
sequence-cps,1135334739.,9543956.61685
setrip,986914880.2,18164794.9168
setrip-smallbuf,985705307.2,22245061.1204

