time_real,4.06.1+multicore+xchg-writes+bench,
almabench,1715548395.,8837933.6249
bdd,212969424.842,927042.051457
cpdf-merge,7652967175.,31892954.0985
cpdf-reformat,8764782246.67,24293464.714
cpdf-squeeze,13669229195.3,33339232.6203
cpdf-transform,2317117009.,10307464.4933
jsontrip-sample,21717651.9189,545657.043618
kb,517536162.125,2775684.61117
kb-no-exc,346518120.667,2825950.5097
lexifi-g2pp,9938627777.67,37245233.9287
menhir-fancy,19590076.2585,2535888.25299
menhir-sql,4069886717.67,17347513.4322
menhir-standard,14974603.1978,125108.528053
minilight,16472926237.,36296275.238
numal-durand-kerner-aberth,87343100.4348,1790726.38053
numal-fft,3711259989.67,20789972.6102
numal-k-means,233429149.5,6254909.49985
numal-levinson-durbin,1603988947.67,2505093.28198
numal-lu-decomposition,929854997.,5919055.63476
numal-naive-multilayer,2765705598.33,12621635.4253
numal-qr-decomposition,1313316718.75,6026071.97706
numal-rnd_access,6158929667.5,5387341.20695
numal-simple_access,8092308191.33,16565241.572
sequence,836259272.2,563029.233602
sequence-cps,1609352383.,5542729.02686
setrip,1000310702.25,2290146.66455
setrip-smallbuf,1001766540.,11410694.1759

