time_real,4.06.1+trunk+bench,
almabench,1616736099.8,37319338.1338
bdd,191446350.,1741585.23434
cpdf-merge,4137946661.33,17631361.4713
cpdf-reformat,6533668158.5,6117563.30881
cpdf-squeeze,9388836817.,14479703.467
cpdf-transform,2135950072.,13804514.0242
frama-c-deflate,26355465185.7,86700437.2467
frama-c-idct,180740344.,nan
jsontrip-sample,14490294.9061,373054.226991
kb,433598158.6,5453224.02142
kb-no-exc,293848333.857,2899440.63918
lexifi-g2pp,9668092307.,7336027.79384
menhir-fancy,10974691.6548,2284440.53466
menhir-sql,3152390265.,17430387.4386
menhir-standard,7796869.95525,113215.759266
minilight,12496790537.,4449608.01355
numal-durand-kerner-aberth,77188179.2885,432208.494718
numal-fft,2220887006.33,10904910.9095
numal-k-means,77617404.4423,1181556.17276
numal-levinson-durbin,1408208739.,1515043.77664
numal-lu-decomposition,776530654.667,18572243.4742
numal-naive-multilayer,2365528898.,5312923.00973
numal-qr-decomposition,1171040714.25,4719168.04913
numal-rnd_access,4018951298.,11686191.1383
numal-simple_access,2987633629.75,37218776.0179
patdiff,220743913.684,5524551.51096
sauvola-contrast,1725460.,nan
sequence,844758034.6,960475.795707
sequence-cps,873405254.6,11986512.7246
setrip,896201673.,7305321.07105
setrip-smallbuf,888881580.4,5158800.40373

