time_real,4.06.1+multicore+cas-promotion+bench,
almabench,1710959747.,2908577.61891
bdd,212850972.632,1137391.63877
cpdf-merge,7682444995.33,17836935.9408
cpdf-reformat,8856637212.75,74300678.3928
cpdf-squeeze,13744195040.3,17925052.3683
cpdf-transform,2357295912.33,10577716.2103
jsontrip-sample,19268594.4904,308778.255226
kb,524050511.625,1429494.60687
kb-no-exc,356168983.75,1105794.00572
lexifi-g2pp,9961057516.,12949355.151
menhir-fancy,19081144.3905,1865697.97199
menhir-sql,4102658124.67,16722304.9597
menhir-standard,14576464.1709,99670.3972486
minilight,15126102464.7,44076308.818
numal-durand-kerner-aberth,87789573.,291672.173836
numal-fft,3789877542.,28949587.4811
numal-k-means,235945561.235,3253208.66684
numal-levinson-durbin,1609482605.,579970.059883
numal-lu-decomposition,948168241.,22508886.3728
numal-naive-multilayer,2759992804.,6082384.99384
numal-qr-decomposition,1309561467.25,979339.20593
numal-rnd_access,5524554248.,5294395.0565
numal-simple_access,8094636830.33,12825909.3074
sequence,847256612.2,3084231.29546
sequence-cps,1242452535.5,3596436.29107
setrip,1000150080.5,14637042.8936
setrip-smallbuf,991646945.8,9218524.30438

