time_real,4.06.1+multicore+atomic-mark+bench,
almabench,1713199385.,2371270.87558
bdd,211005191.,968546.417452
cpdf-merge,8003467877.33,16905104.6463
cpdf-reformat,9038734252.,24370803.8445
cpdf-squeeze,14104542212.5,12457018.8469
cpdf-transform,2510229739.,14398652.7778
jsontrip-sample,19122897.8476,259429.08424
kb,543264051.25,2203529.68315
kb-no-exc,367101915.727,1768101.46049
lexifi-g2pp,9945448980.,4933441.58593
menhir-fancy,18893972.1651,1368054.44316
menhir-sql,4245881276.67,27546331.0019
menhir-standard,14539776.9601,99638.3747723
minilight,15299454625.7,34113557.6068
numal-durand-kerner-aberth,86705242.1915,325468.570355
numal-fft,4510253039.,3485179.41783
numal-k-means,228351095.556,634249.231843
numal-levinson-durbin,1600256976.,1319310.56639
numal-lu-decomposition,937133603.4,15200010.2102
numal-naive-multilayer,2742374970.67,4942000.33762
numal-qr-decomposition,1309535613.75,3692880.41054
numal-rnd_access,5489552949.5,102174.808561
numal-simple_access,8513857346.67,7875589.20431
sequence,836552688.,872842.700391
sequence-cps,1210298244.,1228708.20889
setrip,1004988044.75,15124053.8973
setrip-smallbuf,991072171.2,10630193.3724

