time_real,4.06.1+multicore+bench,,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+multicore-lazy+bench,,4.06.1+scheduling+bench,,4.06.1+trunk+bench,,4.08.0+optim_local_tailcalls+bench,,4.08.0+optim_local_tailcalls+flambda+bench,,4.08.0+trunk+bench,,4.08.0+trunk+flambda+bench,
almabench,1673888676.,9069849.10565,1685576088.6,33668689.0407,1668586097.67,772887.005315,1699129957.33,4830143.97761,1611065374.,19014356.7273,1599070860.,673403.881981,1623981604.17,37739595.4625,1607979119.67,12235906.2583,1605405951.,2150346.27528,1610514005.,24947449.0815
bdd,205250769.65,820868.871204,205913458.95,1260070.59201,206536502.15,958739.234452,204775613.9,676883.486049,190751397.048,1334426.03388,191554304.524,1386497.85666,190680330.524,1229345.30567,210288809.4,1628520.86664,193121298.952,1049500.83237,211330691.263,2370806.79491
cpdf-merge,5346365353.67,25203421.8564,5377113190.,nan,5368945130.,nan,5402060342.,nan,3929011655.33,4372643.14454,4117702808.5,3557371.48466,4041717610.,8742646.28638,4123937248.,13839.4939214,4276322175.33,6853670.99758,4116318503.67,21247588.3158
cpdf-reformat,7507740037.25,81301958.3888,7566063717.,nan,7576444011.,nan,7687546709.,nan,6520455400.,2694322.90948,6533912270.33,10217348.9068,6542681476.5,5722487.19382,6523149168.,5084691.72643,6574401191.5,4794649.95981,6600266451.67,33388087.2933
cpdf-squeeze,11405516944.5,7882467.89353,11574092279.7,30910892.1924,11556740672.,2792194.97328,11519603283.3,17757997.0109,9439977646.,8301266.73393,9412429103.67,21430532.8243,9343894002.67,32335233.6544,9439093466.67,22310066.7985,9213571315.,3817994.78075,9384495453.33,30415675.6433
cpdf-transform,2107549970.67,3874912.524,2121850015.25,19469103.067,2109288356.,5711669.69621,2115105139.67,8172911.2797,2177254657.33,12220670.8443,2153155964.4,35298886.916,2138945337.67,15133840.4151,2131336328.,2340860.02856,2150418436.67,12575376.2628,2156688221.25,28806231.7545
jsontrip-sample,17843385.2844,303829.91315,18081462.1982,533761.880555,17867316.6295,283657.090626,17919045.7634,857160.633848,15351101.6322,319137.909523,14526071.4275,352969.461675,,,,,,,,
kb,450263222.444,2438109.82889,459987651.222,744112.487219,459553907.222,798524.174801,460758747.333,5585723.75205,423950441.4,4218710.92182,428625437.3,1486272.49788,440297505.1,5784726.31768,424704025.7,4738119.94467,439317830.2,4899088.15245,427048334.6,1283112.48895
kb-no-exc,298023756.571,7679225.07551,305639538.,nan,304577349.,nan,309236328.,nan,284078425.6,1704620.09008,292995205.5,2234714.74086,294040852.,9489780.7392,291909248.643,3240581.05164,292855387.5,2935116.31676,292819929.429,1534367.01128
lexifi-g2pp,9780971379.5,9414170.07602,9824465160.5,4396140.13429,9834937481.,8418056.6572,9836775848.,5714216.1658,9779658739.4,163597841.272,9682167524.,36142745.1063,9626035548.67,15939961.1096,9576301867.,52914506.1876,9682792467.33,41466327.5315,9569762902.5,3187038.45015
