time_real,4.06.1+multicore+xchg-writes+bench,
almabench,1710995380.,1435253.50753
bdd,214480799.474,6078431.40529
cpdf-merge,7640082159.,48073772.4283
cpdf-reformat,8774673788.33,34722010.2855
cpdf-squeeze,13668322981.,10157777.0021
cpdf-transform,2318119490.33,10694072.679
jsontrip-sample,21694776.0216,530899.094515
kb,516830375.,1643041.07581
kb-no-exc,350533799.333,8288949.73612
lexifi-g2pp,10035567519.,78791520.9304
menhir-fancy,19505513.7816,2286261.11897
menhir-sql,4064541625.,17577671.7615
menhir-standard,15023166.8165,126400.460089
minilight,16422075623.,67560024.9643
numal-durand-kerner-aberth,87199219.3261,262215.734918
numal-fft,3723789184.67,6817247.39345
numal-k-means,223073403.5,2464248.72832
numal-levinson-durbin,1601541636.67,1113076.29308
numal-lu-decomposition,928226703.4,10752947.7973
numal-naive-multilayer,2759161879.,4583905.56849
numal-qr-decomposition,1311376413.25,3669915.69564
numal-rnd_access,6148334837.5,222886.421391
numal-simple_access,8121797225.33,27387924.2958
sequence,837168662.2,996173.836037
sequence-cps,1610818966.,2213099.29414
setrip,1002163270.25,11120709.4509
setrip-smallbuf,1007353179.75,11566729.9311

