time_real,4.06.1+multicore+cas-promotion+bench,
almabench,1709614467.33,543400.423859
bdd,212783319.737,827485.403997
cpdf-merge,7697414457.5,813381.394865
cpdf-reformat,8817890474.,18339678.7824
cpdf-squeeze,13746945385.,7191073.73213
cpdf-transform,2361732277.,23694516.36
jsontrip-sample,19290583.4952,271576.466562
kb,526680402.875,8583053.47929
kb-no-exc,357253493.,3594994.64059
lexifi-g2pp,9966572731.,6381876.28809
menhir-fancy,18842356.7512,166544.043635
menhir-sql,4126379165.,50941764.9435
menhir-standard,14545302.9529,81058.7823549
minilight,15123302295.5,12164658.4771
numal-durand-kerner-aberth,87851826.2391,209841.195674
numal-fft,3788239726.,7619063.88774
numal-k-means,229819308.722,3118073.57632
numal-levinson-durbin,1609204924.33,432072.964258
numal-lu-decomposition,936999542.4,457381.034862
numal-naive-multilayer,2764693487.67,5976013.01963
numal-qr-decomposition,1308939640.75,805090.635445
numal-rnd_access,5522462390.5,2303480.24278
numal-simple_access,8231437202.6,190312151.361
sequence,845572340.2,570478.488416
sequence-cps,1243399957.25,6585252.6605
setrip,994478532.2,10694214.2188
setrip-smallbuf,1001326645.6,17606840.2156

