time_real,4.06.1+multicore+atomic-mark+bench,
almabench,1726623723.2,33991604.1699
bdd,211141264.842,813141.821367
cpdf-merge,8000748941.,36071188.3794
cpdf-reformat,9039940968.5,3855032.32684
cpdf-squeeze,14047113008.,11875158.3543
cpdf-transform,2514994289.67,13699465.0888
jsontrip-sample,19128118.1619,277356.377638
kb,543307041.375,1528024.90812
kb-no-exc,369340811.273,5612174.06035
lexifi-g2pp,9950825681.,544919.112999
menhir-fancy,18808696.2535,350752.652222
menhir-sql,4256744546.67,28413804.0046
menhir-standard,14531029.1196,101823.45716
minilight,15289334024.,15020534.78
numal-durand-kerner-aberth,86862944.5957,243394.089073
numal-fft,4521865559.67,30995998.0678
numal-k-means,228698908.333,2230967.88137
numal-levinson-durbin,1598826893.33,775108.345584
numal-lu-decomposition,923521937.4,2674045.3155
numal-naive-multilayer,2741059040.,2778720.86575
numal-qr-decomposition,1308383715.,1577447.01415
numal-rnd_access,5493209588.33,9076804.76378
numal-simple_access,8528350225.,30534584.1277
sequence,836700643.8,1130869.42029
sequence-cps,1214141176.,4997232.28877
setrip,990443249.4,9825278.37571
setrip-smallbuf,992587150.,13274949.4458

