time_real,4.06.1+trunk+bench,
almabench,1600342135.33,2009992.44655
bdd,192294240.048,5765960.89827
cpdf-merge,4124587166.67,14860860.1578
cpdf-reformat,6539414241.67,14999532.9984
cpdf-squeeze,9417025239.67,62875689.7101
cpdf-transform,2142514233.,3917330.57257
frama-c-deflate,26445813517.7,125950968.211
frama-c-idct,179132375.,nan
jsontrip-sample,14480368.8556,452985.623086
kb,430926887.7,3692383.1462
kb-no-exc,292559079.214,1566362.92469
lexifi-g2pp,9667082134.,20455624.2036
menhir-fancy,10546367.8895,976027.13487
menhir-sql,3147111546.75,23975877.774
menhir-standard,7782672.69261,59463.0295357
minilight,12467704974.,4846680.99809
numal-durand-kerner-aberth,76866845.9434,277046.957938
numal-fft,2213600335.,6331041.67225
numal-k-means,77373359.1538,825732.009569
numal-levinson-durbin,1408279713.67,332525.527697
numal-lu-decomposition,766747262.,3274836.61539
numal-naive-multilayer,2369225321.5,1204632.06218
numal-qr-decomposition,1174058235.75,266996.826622
numal-rnd_access,4010800623.,719652.269698
numal-simple_access,2962549495.5,1597961.62343
patdiff,219923500.368,5277950.25627
sauvola-contrast,1775037.,nan
sequence,844858861.6,509724.294481
sequence-cps,867951382.4,3255598.96514
setrip,889460936.8,9242063.06632
setrip-smallbuf,892892460.4,12557072.9113

