time_real,4.06.1+multicore+bench,
almabench,1672215765.,6812628.95112
bdd,207460599.2,1010332.61515
cpdf-merge,6007337522.,nan
cpdf-reformat,7874085465.,nan
cpdf-squeeze,12110274279.3,68585738.7288
cpdf-transform,2158788481.,1658733.91573
jsontrip-sample,17756053.0531,327022.064083
kb,470375192.111,1860632.46374
kb-no-exc,309369739.,nan
lexifi-g2pp,9807525658.5,4155261.38085
menhir-fancy,15229149.7034,465877.206507
menhir-sql,3415422133.,nan
menhir-standard,11539296.2392,211248.539156
minilight,14546209871.7,75986326.9537
numal-durand-kerner-aberth,81942815.1633,193281.822674
numal-fft,2358009346.67,4684987.83409
numal-k-means,89643420.3556,824965.622617
numal-levinson-durbin,1483105676.67,935397.593978
numal-lu-decomposition,854636165.4,5406277.03393
numal-naive-multilayer,2519456002.67,6705696.43673
numal-qr-decomposition,1144760624.5,1124075.73265
numal-rnd_access,5318424910.5,5905470.87244
numal-simple_access,2521810431.5,38091752.2226
sequence,898317678.6,5656120.94791
sequence-cps,1151812683.29,33434039.1671
setrip,977806808.,8832305.87354
setrip-smallbuf,966664553.4,9232142.0516

