time_real,4.06.1+multicore+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,,4.06.1+trunk+bench,
almabench,1670270791.67,1710097.72456,1668586097.67,772887.005315,1601434252.,231853.348031,1598607854.33,501919.110083
bdd,205482144.,813758.922866,206536502.15,958739.234452,186500867.955,952539.501659,190875227.476,933965.372713
cpdf-merge,5369271387.,nan,5368945130.,nan,3318067908.67,8736676.59044,4144863045.,41558485.6819
cpdf-reformat,7576038091.,nan,7576444011.,nan,6133566650.33,6439386.97051,6561386864.,37312154.6448
cpdf-squeeze,11560418215.,4601504.44964,11556740672.,2792194.97328,8335738966.,31261371.3002,9397358711.,27835650.731
cpdf-transform,2104261469.,5945327.77937,2109288356.,5711669.69621,2064718197.,16235818.6222,2143473166.33,11273017.5709
frama-c-deflate,,,,,,,26361503167.,152285346.583
frama-c-idct,,,,,,,181058573.,nan
jsontrip-sample,17867497.3393,292110.471922,17867316.6295,283657.090626,14777607.,322848.503717,14567242.0545,365262.270397
kb,465184625.667,6904674.08051,459553907.222,798524.174801,409408879.5,6112897.56166,431034561.2,4141039.33341
kb-no-exc,303549951.,nan,304577349.,nan,262857924.5,3319846.19159,292759466.571,2113163.68847
lexifi-g2pp,9823733497.,9061659.66793,9834937481.,8418056.6572,9680679992.,3474188.15002,9879918303.25,115012587.597
menhir-fancy,14966068.5634,105373.341631,15048530.9699,168718.000259,10097558.7783,487725.31633,10459125.7728,257036.035589
menhir-sql,3285960097.,nan,3305068893.,nan,2820045397.,8639928.12228,3137273066.,6011400.32015
menhir-standard,11556551.7839,267982.514194,11477118.9169,92759.9051938,7690566.04798,244736.372784,7790610.19066,113245.811768
minilight,14634552852.7,24601641.538,14645574524.,1628434.39016,12506184517.7,40163050.2367,12486272112.3,58211981.8401
numal-durand-kerner-aberth,82134521.7347,258117.969459,82225682.1429,246940.999261,76645089.9057,304511.408811,77013801.6923,272392.437051
numal-fft,2339857680.67,14212278.4233,2356788833.67,15224874.5473,2226381423.,13950320.1435,2222618586.67,12833669.0511
numal-k-means,90015828.5778,918929.453857,89973741.3333,847996.406454,78062780.9423,834184.235126,78748608.7843,6957839.34772
numal-levinson-durbin,1520414137.67,1722334.55128,1520001585.67,1257978.5418,1418083704.67,4456180.55636,1408212050.67,1196124.26889
numal-lu-decomposition,850123209.6,1119650.12256,852970779.2,5823612.42969,785163072.167,9230564.53676,770666430.167,21269588.4138
numal-naive-multilayer,2511564466.67,16342455.2377,2508613879.67,12382475.5146,2316117078.67,18010022.1422,2374474126.67,6239709.10569
numal-qr-decomposition,1145594944.5,491486.727574,1146520379.,2221670.25824,1173705140.,830007.005915,1174355438.75,628653.449112
numal-rnd_access,5365505453.8,84859375.3197,5316989421.,6941025.06547,3969058202.67,6572986.9239,4021106204.5,3259514.06679
numal-simple_access,2250918308.5,24888727.3376,2241531986.25,23680139.7614,2237841003.5,1496473.41555,2976961949.,3054866.49756
patdiff,,,,,180142553.087,3285828.21011,221353456.211,5864131.14734
sauvola-contrast,,,,,,,1705851.,nan
sequence,819914374.8,696462.99895,820129881.6,1327453.19073,805769396.2,606402.332087,845205888.4,621075.715388
sequence-cps,1133313117.,10021571.2066,1130815763.75,4597735.35614,881751211.6,8596593.97793,868134509.6,4587867.72989
setrip,973285313.,9924634.76961,970996682.4,8994283.61158,905902492.2,6140505.5723,894889808.4,7632315.59249
setrip-smallbuf,970866145.,13163347.1801,964956023.2,10352297.448,908894352.2,11358811.4402,889150829.,9596896.07144

size,4.06.1+multicore+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,,4.06.1+trunk+bench,
almabench,792024.,0.,792024.,0.,722485.,0.,722441.,0.
bdd,824677.,0.,824677.,0.,748586.,0.,748542.,0.
cpdf-merge,5425968.,0.,5425968.,0.,4914951.,0.,4914923.,0.
cpdf-reformat,5425968.,0.,5425968.,0.,4914951.,0.,4914923.,0.
cpdf-squeeze,5425968.,0.,5425968.,0.,4914951.,0.,4914923.,0.
cpdf-transform,5425968.,0.,5425968.,0.,4914951.,0.,4914923.,0.
frama-c-deflate,,,,,,,14161081.,0.
frama-c-idct,,,,,,,14161081.,0.
jsontrip-sample,1656979.,0.,1656979.,0.,1406237.,0.,1406209.,0.
kb,863622.,0.,863622.,0.,787675.,0.,787631.,0.
kb-no-exc,867613.,0.,867613.,0.,791434.,0.,791390.,0.
lexifi-g2pp,1001736.,0.,1001736.,0.,902379.,0.,902335.,0.
menhir-fancy,3971787.,0.,3971819.,0.,3274561.,0.,3274517.,0.
menhir-sql,3971787.,0.,3971819.,0.,3274561.,0.,3274517.,0.
menhir-standard,3971787.,0.,3971819.,0.,3274561.,0.,3274517.,0.
minilight,1615920.,0.,1615920.,0.,1337370.,0.,1337342.,0.
