time_real,4.06.1+multicore+bench,,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,,4.06.1+trunk+bench,
numal-lu-decomposition,856100309.4,4239066.78381,859548883.4,5566606.65435,852970779.2,5823612.42969,774607161.333,2095929.29242,765090857.,4816384.37091
numal-naive-multilayer,2508373269.,2726584.58726,2493526096.5,1032570.3549,2508613879.67,12382475.5146,2298667784.5,2148581.43129,2367345243.67,3124418.83912
numal-qr-decomposition,1147431444.75,1173771.86649,1146177917.,247155.28157,1146520379.,2221670.25824,1170013433.25,517757.332013,1175963575.,1701123.88657
numal-rnd_access,5311107080.5,3209148.26498,5312987329.67,5627485.16982,5316989421.,6941025.06547,4049523087.57,119560663.885,4004543855.5,1639873.25656
numal-simple_access,2193871170.,3361184.64645,2210174710.33,2116423.36797,2241531986.25,23680139.7614,2676759265.33,5455631.25976,2962894129.33,8127767.90555
patdiff,,,,,,,221553256.842,4768329.84697,,
sauvola-contrast,,,,,,,,,1689583.,nan
sequence,819257569.2,7450007.82221,821434941.6,1040840.54303,820129881.6,1327453.19073,847796697.8,1536321.5233,844739193.4,1210027.55618
sequence-cps,1141627915.,23901560.7289,1138576808.5,5829992.53941,1130815763.75,4597735.35614,883181133.375,32134771.4337,870035720.2,4284976.09567
setrip,986318686.6,10978669.8848,967206597.2,5888481.79429,970996682.4,8994283.61158,896590720.2,7494383.79119,900699061.4,10009138.1998
setrip-smallbuf,985943032.714,27682407.75,974053374.6,19196138.735,964956023.2,10352297.448,911634079.6,14961596.2729,904887290.8,12908736.6525

size,4.06.1+multicore+bench,,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,,4.06.1+trunk+bench,
almabench,792701.,0.,792024.,0.,792024.,0.,722528.,0.,722441.,0.
bdd,825354.,0.,824677.,0.,824677.,0.,748629.,0.,748542.,0.
cpdf-merge,5426645.,0.,5425968.,0.,5425968.,0.,4915026.,0.,4914923.,0.
cpdf-reformat,5426645.,0.,5425968.,0.,5425968.,0.,4915026.,0.,4914923.,0.
cpdf-squeeze,5426645.,0.,5425968.,0.,5425968.,0.,4915026.,0.,4914923.,0.
cpdf-transform,5426645.,0.,5425968.,0.,5425968.,0.,4915026.,0.,4914923.,0.
frama-c-deflate,,,,,,,,,14161081.,0.
frama-c-idct,,,,,,,,,14161081.,0.
frama-c-monocypher,,,,,,,,,14161081.,0.
