time_real,4.06.1+multicore+bench,
almabench,1714945264.,3896797.98353
bdd,210280273.45,919923.657392
cpdf-merge,7580897987.33,36081300.7862
cpdf-reformat,8715986915.,27262869.1975
cpdf-squeeze,13562187639.7,28640434.6843
cpdf-transform,2311445988.67,4217191.62137
jsontrip-sample,19127206.5,259634.220855
kb,523798551.,8065846.05823
kb-no-exc,348137687.083,6225741.72753
lexifi-g2pp,9939204973.67,20700941.5699
menhir-fancy,18880979.783,1385815.89185
menhir-sql,4056586588.25,48786785.9239
menhir-standard,14502479.5145,101225.413568
minilight,15156913648.5,8562694.71754
numal-durand-kerner-aberth,86951938.8723,246437.331693
numal-fft,3552818470.,15187512.4611
numal-k-means,233572922.444,3528362.80683
numal-levinson-durbin,1600629218.33,1729786.94537
numal-lu-decomposition,919454716.2,1419315.90671
numal-naive-multilayer,2749862927.67,8535042.52818
numal-qr-decomposition,1309728608.5,2547564.11994
numal-rnd_access,5486653960.5,709300.933529
numal-simple_access,8061183782.,69621918.7739
sequence,836792377.8,819138.009826
sequence-cps,1222758344.5,1513117.68354
setrip,989467275.2,4526026.98414
setrip-smallbuf,992485640.4,12083932.6042

