time_real,4.06.1+multicore+bench,
almabench,1671347272.33,1280971.75835
bdd,205642496.65,1295731.76831
cpdf-merge,6005227250.33,8594127.96669
cpdf-reformat,7894287308.5,6244027.94242
cpdf-squeeze,12091863581.3,35685052.3331
cpdf-transform,2174666335.,8992043.665
jsontrip-sample,18104708.5113,296842.956032
kb,467618159.556,3588170.20298
kb-no-exc,316689715.615,1874682.8453
lexifi-g2pp,9858338843.67,22012320.8479
menhir-fancy,18296278.5251,151913.109154
menhir-sql,3520142676.,22570482.6831
menhir-standard,14369963.8387,126022.631239
minilight,14899041931.7,56696375.8689
numal-durand-kerner-aberth,82855919.8571,248638.822451
numal-fft,2817317377.,6309222.93386
numal-k-means,228645985.222,1813201.34925
numal-levinson-durbin,1485469502.,3492273.36414
numal-lu-decomposition,870786732.8,7352306.27087
numal-naive-multilayer,2557299090.5,37496260.5615
numal-qr-decomposition,1159818330.75,1626637.44311
numal-rnd_access,5484748205.25,74850936.0239
numal-simple_access,2508013038.,17733508.4877
sequence,809562100.6,1035580.9579
sequence-cps,1145924198.,6322375.17706
setrip,977805053.8,5865754.30579
setrip-smallbuf,970775298.6,10407465.7064

