time_real,4.06.1+multicore+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,,4.06.1+trunk+bench,
bdd,638145.,0.,638145.,0.,554433.,0.,554346.,0.
cpdf-merge,3570136.,0.,3570136.,0.,3124170.,0.,3124099.,0.
cpdf-reformat,3570136.,0.,3570136.,0.,3124170.,0.,3124099.,0.
cpdf-squeeze,3570136.,0.,3570136.,0.,3124170.,0.,3124099.,0.
cpdf-transform,3570136.,0.,3570136.,0.,3124170.,0.,3124099.,0.
frama-c-deflate,,,,,,,10199177.,0.
frama-c-idct,,,,,,,10199177.,0.
jsontrip-sample,1288011.,0.,1288011.,0.,1061560.,0.,1061489.,0.
kb,667682.,0.,667682.,0.,583570.,0.,583483.,0.
kb-no-exc,670937.,0.,670937.,0.,586625.,0.,586538.,0.
lexifi-g2pp,768420.,0.,768420.,0.,664514.,0.,664427.,0.
menhir-fancy,2938139.,0.,2938139.,0.,2371292.,0.,2371205.,0.
menhir-list-errors,2938139.,0.,,,,,2371205.,0.
menhir-sql,2938139.,0.,2938139.,0.,2371292.,0.,2371205.,0.
menhir-standard,2938139.,0.,2938139.,0.,2371292.,0.,2371205.,0.
menhir-sysver,2938139.,0.,,,,,2371205.,0.
minilight,1261384.,0.,1261384.,0.,1014229.,0.,1014158.,0.
numal-durand-kerner-aberth,743953.,0.,743953.,0.,634409.,0.,634322.,0.
numal-fft,636189.,0.,636189.,0.,553325.,0.,553238.,0.
numal-k-means,11005995.,0.,11005995.,0.,7160195.,0.,7160108.,0.
numal-levinson-durbin,332978.,0.,332978.,0.,283830.,0.,283743.,0.
numal-lu-decomposition,1145461.,0.,1145461.,0.,891973.,0.,891886.,0.
numal-naive-multilayer,874206.,0.,874206.,0.,733420.,0.,733333.,0.
numal-qr-decomposition,759351.,0.,759351.,0.,652015.,0.,651928.,0.
numal-rnd_access,405448.,0.,405448.,0.,336426.,0.,336339.,0.
numal-simple_access,330827.,0.,330827.,0.,282055.,0.,281968.,0.
patdiff,,,,,14145694.,0.,14145607.,0.
sauvola-contrast,,,,,,,1451769.,0.
sequence,742774.,0.,742774.,0.,643206.,0.,643119.,0.
sequence-cps,593781.,0.,593781.,0.,519461.,0.,519374.,0.
setrip,1068285.,0.,1068285.,0.,882298.,0.,882227.,0.
setrip-smallbuf,1068285.,0.,1068285.,0.,882298.,0.,882227.,0.

data_size,4.06.1+multicore+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,,4.06.1+trunk+bench,
almabench,185956.,0.,185956.,0.,194356.,0.,194356.,0.
bdd,186532.,0.,186532.,0.,194196.,0.,194196.,0.
cpdf-merge,1855832.,0.,1855832.,0.,1790856.,0.,1790824.,0.
cpdf-reformat,1855832.,0.,1855832.,0.,1790856.,0.,1790824.,0.
cpdf-squeeze,1855832.,0.,1855832.,0.,1790856.,0.,1790824.,0.
cpdf-transform,1855832.,0.,1855832.,0.,1790856.,0.,1790824.,0.
frama-c-deflate,,,,,,,3961904.,0.
