time_real,4.06.1+multicore+cas-promotion+bench,
almabench,1711243112.67,4004714.06428
bdd,212301328.789,1035782.88922
cpdf-merge,7693029707.,4806337.7278
cpdf-reformat,8821444082.5,3097394.28085
cpdf-squeeze,13747388836.3,41539538.2012
cpdf-transform,2365585838.,2256186.81994
jsontrip-sample,19474372.7718,858915.630254
kb,524081358.125,1318059.84202
kb-no-exc,356037959.,1240432.52013
lexifi-g2pp,9944359623.5,498262.086256
menhir-fancy,19111486.3,1888699.42423
menhir-sql,4135301265.25,52646268.6538
menhir-standard,14569155.2618,92477.9338803
minilight,15183503476.8,123840446.028
numal-durand-kerner-aberth,87812836.8261,233289.859081
numal-fft,3796550208.5,625719.497779
numal-k-means,236116621.882,3526375.50883
numal-levinson-durbin,1608039266.,1207023.64969
numal-lu-decomposition,938625621.6,10850128.9571
numal-naive-multilayer,2794898350.6,57913952.6793
numal-qr-decomposition,1308545617.75,630797.506131
numal-rnd_access,5522015759.,4876692.0241
numal-simple_access,8083840382.,8915765.25165
sequence,847311249.,4210370.62297
sequence-cps,1239646449.75,1269765.19845
setrip,1000491912.75,17054802.904
setrip-smallbuf,987391776.2,1972421.22353

