time_real,4.06.1+trunk+bench,
almabench,1602581911.67,4816570.16014
bdd,191094787.048,1087768.84165
cpdf-merge,4107035476.5,2619945.8827
cpdf-reformat,6529682281.33,7326113.35217
cpdf-squeeze,9380237852.33,25567345.409
cpdf-transform,2143628323.75,18817486.1055
frama-c-deflate,26379219313.7,52795682.69
frama-c-idct,180010678.,nan
jsontrip-sample,14501280.7246,366066.481441
kb,430460479.5,4297059.20978
kb-no-exc,291871426.071,1099345.47472
lexifi-g2pp,9680433002.33,13229967.6849
menhir-fancy,10555123.1161,441442.929208
menhir-sql,3142982555.33,6196107.71857
menhir-standard,7763023.08527,87253.7479434
minilight,12497041512.7,32292572.0281
numal-durand-kerner-aberth,77040948.25,220400.464954
numal-fft,2222867899.25,36351556.0876
numal-k-means,77524969.7115,781096.22491
numal-levinson-durbin,1408246056.,594487.473856
numal-lu-decomposition,776636422.833,13833565.0878
numal-naive-multilayer,2370613300.5,1475455.37358
numal-qr-decomposition,1174569849.,659154.215381
numal-rnd_access,4008864259.,2192596.7071
numal-simple_access,2979638750.33,19342389.4112
patdiff,218333493.263,4143200.32103
sauvola-contrast,1764771.,nan
sequence,844650155.2,634638.217998
sequence-cps,878842508.143,29915222.0083
setrip,897857266.6,10361114.0895
setrip-smallbuf,894924993.6,10776839.6571

