time_real,4.06.1+multicore+atomic-mark+bench,
almabench,1711308462.67,1880200.62452
bdd,211198295.053,1093051.46148
cpdf-merge,8001982791.5,3693150.12878
cpdf-reformat,9038242425.,28568162.2446
cpdf-squeeze,14066258426.,63017165.397
cpdf-transform,2514637348.67,19219038.7146
jsontrip-sample,19139165.8708,258012.885761
kb,542950774.75,1525962.60694
kb-no-exc,366775101.909,2794044.11744
lexifi-g2pp,9932522753.,2707953.09979
menhir-fancy,18901332.6132,1394818.88792
menhir-sql,4256738012.,31666901.1006
menhir-standard,14708865.0221,338345.927047
minilight,15281383403.5,3640094.49277
numal-durand-kerner-aberth,86884000.766,280526.977978
numal-fft,4525214745.33,6916623.94495
numal-k-means,228802212.278,2009366.16013
numal-levinson-durbin,1605812046.,11125872.511
numal-lu-decomposition,920823102.6,1563451.11669
numal-naive-multilayer,2790972086.8,67473400.7422
numal-qr-decomposition,1307937245.,393413.677577
numal-rnd_access,5504867779.67,8321480.46098
numal-simple_access,8527104104.,24678637.3296
sequence,836507183.2,508677.385963
sequence-cps,1211366654.75,1850309.72204
setrip,988831742.,8585368.53432
setrip-smallbuf,994529276.8,21847440.2218

