time_real,4.06.1+multicore+bench,
almabench,1710827291.33,1776071.28275
bdd,210177036.55,908218.161701
cpdf-merge,7578570759.5,5637838.02683
cpdf-reformat,8705994224.33,24415372.6708
cpdf-squeeze,13588029649.,453879.114922
cpdf-transform,2318003818.33,4168726.38875
jsontrip-sample,19120881.5619,257417.187998
kb,518590088.375,439635.389596
kb-no-exc,345085388.75,4125121.81393
lexifi-g2pp,9982515742.75,92085393.4424
menhir-fancy,18654088.8,340981.80532
menhir-sql,4032803833.25,42866228.3423
menhir-standard,14656852.1868,329739.73931
minilight,15146065503.,39599761.0938
numal-durand-kerner-aberth,86891120.8298,296610.957175
numal-fft,3561246050.67,13294061.0514
numal-k-means,232412913.5,885899.747912
numal-levinson-durbin,1600302566.67,4362028.39988
numal-lu-decomposition,928574162.,9652627.14339
numal-naive-multilayer,2754413465.,74852.9096428
numal-qr-decomposition,1308034697.,507828.404767
numal-rnd_access,5486014422.67,15361074.0069
numal-simple_access,7972003090.,8583213.66918
sequence,837252052.8,651024.236116
sequence-cps,1232954286.25,13915399.6916
setrip,1002426956.25,13555944.5272
setrip-smallbuf,989025864.8,12946758.1055

