time_real,4.06.1+multicore+atomic-mark+bench,,4.06.1+multicore+bench,,4.06.1+multicore+cas-promotion+bench,,4.06.1+multicore+xchg-writes+bench,,4.06.1+trunk+bench,
almabench,0.998618437769,0.000566709242832,0.998957925647,0.0010370541161,0.998050735323,0.000834395089608,1.,0.00215232442892,0.940921718885,0.0141296489445
bdd,0.993084319154,0.00620124883802,0.988662611674,0.00427221429351,1.,0.00607677091702,0.99835804657,0.00287036715582,0.901124233247,0.00994089981318
cpdf-merge,1.,0.004019061613,0.949407554386,0.000706281722891,0.963570237917,0.00210068582181,0.952996856176,0.00305905873517,0.515794067009,0.00234769989781
cpdf-reformat,1.,0.00242752078942,0.961790337158,0.00269727602704,0.974248553937,0.00143800270495,0.968538706416,0.00197528668981,0.723141804844,0.00278460309111
cpdf-squeeze,1.,0.00103451104093,0.968075063599,3.23364802988e-05,0.979522431706,0.00184365881281,0.975378015174,0.00168053122179,0.66831298302,0.00107094206719
cpdf-transform,1.,0.00517460392207,0.927394334965,0.0016678373031,0.939353787632,0.00646270815804,0.929389930254,0.0045933914953,0.859056979322,0.00788596618954
frama-c-deflate,,,,,,,,,1.,0.000873463526236
frama-c-idct,,,,,,,,,1.,nan
jsontrip-sample,0.884378729341,0.0120544820187,0.884189550743,0.0119035091072,0.890189561936,0.0102535774272,1.,0.0297951061864,0.669959407959,0.0225935901121
kb,1.,0.00242893677783,0.955458088846,0.000809990777974,0.964570204115,0.0010111423876,0.951328717337,0.00349475357332,0.791975371995,0.00537537874076
kb-no-exc,1.,0.00748874011445,0.941181554559,0.0112508054185,0.974022792422,0.0107110717336,0.943852512124,0.00909512727688,0.81478142981,0.0242875402557
lexifi-g2pp,0.998551134825,0.00451935465003,1.,0.00922466799106,0.998952570005,0.00439682093678,0.995588542519,0.000634008825904,0.96780835818,0.000404622189476
menhir-fancy,0.975527980244,0.0888704344757,0.960395502065,0.0175552607059,0.966308078983,0.0091023946766,1.,0.0957296416407,0.541789138489,0.0445511292177
menhir-sql,1.,0.0070129100061,0.94951952327,0.0100928094653,0.967081603526,0.00565164661668,0.96198287901,0.00524854287261,0.739534761157,0.00536784869729
menhir-standard,0.975690542866,0.03199241271,0.9752101803,0.0219396052117,0.968836028184,0.0110276349264,1.,0.0085995378483,0.516446284908,0.00421798345716
minilight,0.927648349273,0.000113208667825,0.919677234876,0.0024045187694,0.917940996297,0.000192079389632,1.,0.00526256701762,0.758668959127,0.00359595052451
numal-durand-kerner-aberth,0.986726680557,0.00225932697156,0.987734161824,0.00337172282249,1.,0.00195882692796,0.991336089664,0.00233518949675,0.875702411835,0.00296150290722
numal-fft,1.,0.00397743016885,0.790486240015,0.00295086949498,0.837267433907,0.00404438242217,0.82467674497,0.00686616016548,0.296800592059,0.00154789392429
numal-k-means,0.965016163316,0.00876515496595,0.982731380427,0.00374592559886,1.,0.0153013835756,0.978664561121,0.00691181791582,0.328236918897,0.00410178592555
numal-levinson-durbin,0.99253070233,0.000161350392234,0.993799561193,0.00270885143847,1.,0.00105890094347,0.994677576698,0.000911169662421,0.875113135082,0.000824273851196
numal-lu-decomposition,0.992775491775,0.0123206766455,0.992011766111,0.010312067783,1.,0.0028881625134,0.982776303064,0.0026304051493,0.826440728157,0.0183008634975
numal-naive-multilayer,0.995471776177,0.00268235736973,0.995915137755,2.70646171192e-05,1.,0.00106266678535,0.998247609936,0.00250912856882,0.856185932819,0.000935397020001
numal-qr-decomposition,1.,0.00163135913067,0.998591714797,0.000387690967757,0.999130932194,0.00038221516846,0.998460438587,0.000412755293384,0.897906856948,0.00203973445223
numal-rnd_access,0.894107626543,0.00321702701692,0.894097938606,0.00250351230351,0.899533766413,0.00304112811209,1.,0.00082708412036,0.65246164777,0.00111330314053
numal-simple_access,1.,0.001905446232,0.941011987255,0.00101315903427,0.949292153792,0.000710391539498,0.946326473803,0.00810285180489,0.346652370787,0.000340205336127
sauvola-contrast,,,,,,,,,1.,nan
sequence,0.988528908638,0.00044828514658,0.990122276077,0.000769891929544,1.,0.000469713585346,0.988445815911,0.000357559260559,0.998837970512,0.000581554775901
sequence-cps,0.754572987088,0.00727314904967,0.764036472636,0.0086230876637,0.767743735343,0.00105660722208,1.,0.00882080057099,0.53894548365,0.00298162192069
setrip,0.978272150627,0.0105761028155,0.987185411727,0.0133498312231,0.980484531803,0.0109315887906,1.,0.0120631263488,0.880237128756,0.0104033871695
setrip-smallbuf,0.971616630894,0.0131304734164,0.974537107625,0.0127570942745,0.987319904121,0.0133097515882,1.,0.0210987588009,0.885060200631,0.0142679550067

size,4.06.1+multicore+atomic-mark+bench,,4.06.1+multicore+bench,,4.06.1+multicore+cas-promotion+bench,,4.06.1+multicore+xchg-writes+bench,,4.06.1+trunk+bench,
almabench,0.988623550807,0.,0.988605364856,0.,1.,0.,0.988496249148,0.,0.821142305069,0.
bdd,0.987548593055,0.,0.987531106659,0.,1.,0.,0.987426188283,0.,0.818081370759,0.
cpdf-merge,0.986560552184,0.,0.986557731178,0.,1.,0.,0.986540805143,0.,0.866564134861,0.
cpdf-reformat,0.986560552184,0.,0.986557731178,0.,1.,0.,0.986540805143,0.,0.866564134861,0.
cpdf-squeeze,0.986560552184,0.,0.986557731178,0.,1.,0.,0.986540805143,0.,0.866564134861,0.
cpdf-transform,0.986560552184,0.,0.986557731178,0.,1.,0.,0.986540805143,0.,0.866564134861,0.
frama-c-deflate,,,,,,,,,1.,0.
frama-c-idct,,,,,,,,,1.,0.
jsontrip-sample,0.985476569458,0.,0.985467624049,0.,1.,0.,0.985413951595,0.,0.786194662163,0.
kb,0.986078801446,0.,0.98606208054,0.,1.,0.,0.98596175511,0.,0.823118950429,0.
kb-no-exc,0.985948524049,0.,0.985931876613,0.,1.,0.,0.985831992001,0.,0.823413369347,0.
lexifi-g2pp,0.986610876379,0.,0.986596331876,0.,1.,0.,0.986509064861,0.,0.820250856308,0.
menhir-fancy,0.980760703173,0.,0.980749326967,0.,1.,0.,0.980734158693,0.,0.775337476326,0.
menhir-sql,0.980760703173,0.,0.980749326967,0.,1.,0.,0.980734158693,0.,0.775337476326,0.
menhir-standard,0.980760703173,0.,0.980749326967,0.,1.,0.,0.980734158693,0.,0.775337476326,0.
minilight,0.987218557457,0.,0.987209395543,0.,1.,0.,0.987154424059,0.,0.765788268169,0.
numal-durand-kerner-aberth,0.986146551749,0.,0.986131345933,0.,1.,0.,0.98604011104,0.,0.802507819115,0.
numal-fft,0.987733448057,0.,0.987715888351,0.,1.,0.,0.987610530117,0.,0.8187498148,0.
numal-k-means,0.998960400112,0.,0.998959271415,0.,1.,0.,0.998952499237,0.,0.593664302847,0.
numal-levinson-durbin,0.996265003029,0.,0.996238804015,0.,1.,0.,0.996081609929,0.,0.824042507901,0.
numal-lu-decomposition,0.991297363396,0.,0.991287758499,0.,1.,0.,0.99123012912,0.,0.726842144125,0.
numal-naive-multilayer,0.98794036618,0.,0.987928355341,0.,1.,0.,0.987856290302,0.,0.806852934774,0.
numal-qr-decomposition,0.987082022978,0.,0.987067804939,0.,1.,0.,0.986982496705,0.,0.816410460567,0.
numal-rnd_access,0.992889996426,0.,0.992863019888,0.,1.,0.,0.992701160666,0.,0.772242154886,0.
numal-simple_access,0.995547841988,0.,0.995515477368,0.,1.,0.,0.995321289649,0.,0.784202829072,0.
sauvola-contrast,,,,,,,,,1.,0.
sequence,0.98531386451,0.,0.985298670318,0.,1.,0.,0.985207505171,0.,0.816082861522,0.
sequence-cps,0.988108550229,0.,0.988089854818,0.,1.,0.,0.987977682353,0.,0.822824759735,0.
setrip,0.98543921941,0.,0.985428466007,0.,1.,0.,0.985363945585,0.,0.784978973735,0.
setrip-smallbuf,0.98543921941,0.,0.985428466007,0.,1.,0.,0.985363945585,0.,0.784978973735,0.

code_size,4.06.1+multicore+atomic-mark+bench,,4.06.1+multicore+bench,,4.06.1+multicore+cas-promotion+bench,,4.06.1+multicore+xchg-writes+bench,,4.06.1+trunk+bench,
almabench,0.992167624687,0.,0.992141992041,0.,1.,0.,0.991988196167,0.,0.846013482772,0.
bdd,0.991489820756,0.,0.991465510299,0.,1.,0.,0.991319647559,0.,0.842275276417,0.
cpdf-merge,0.989812775924,0.,0.989808466721,0.,1.,0.,0.989782611506,0.,0.84139845472,0.
cpdf-reformat,0.989812775924,0.,0.989808466721,0.,1.,0.,0.989782611506,0.,0.84139845472,0.
cpdf-squeeze,0.989812775924,0.,0.989808466721,0.,1.,0.,0.989782611506,0.,0.84139845472,0.
cpdf-transform,0.989812775924,0.,0.989808466721,0.,1.,0.,0.989782611506,0.,0.84139845472,0.
frama-c-deflate,,,,,,,,,1.,0.
frama-c-idct,,,,,,,,,1.,0.
jsontrip-sample,0.990419658738,0.,0.990407736403,0.,1.,0.,0.990336202394,0.,0.790964211386,0.
kb,0.990567132147,0.,0.990543930627,0.,1.,0.,0.990404721509,0.,0.846105769928,0.
kb-no-exc,0.990486305215,0.,0.990463217225,0.,1.,0.,0.990324689286,0.,0.846373959056,0.
lexifi-g2pp,0.990849039986,0.,0.990828908629,0.,1.,0.,0.990708120486,0.,0.835988575455,0.
menhir-fancy,0.986864520509,0.,0.986859327722,0.,1.,0.,0.986828171,0.,0.768822960687,0.
menhir-sql,0.986864520509,0.,0.986859327722,0.,1.,0.,0.986828171,0.,0.768822960687,0.
menhir-standard,0.986864520509,0.,0.986859327722,0.,1.,0.,0.986828171,0.,0.768822960687,0.
