time_real,4.06.1+multicore+xchg-writes+bench,
almabench,1712611960.33,3686096.55948
bdd,212238162.105,610203.375244
cpdf-merge,7607222077.33,24418694.5583
cpdf-reformat,8767079537.33,17880024.2095
cpdf-squeeze,13690534843.3,23588158.5285
cpdf-transform,2322991769.33,11481091.2939
jsontrip-sample,21625319.5323,644328.691779
kb,516348806.25,1896833.13752
kb-no-exc,346064698.667,3334739.7395
lexifi-g2pp,9938478299.,6329003.08563
menhir-fancy,19423340.4466,1859389.42042
menhir-sql,4085738257.,22291636.2401
menhir-standard,15029429.0225,129246.143717
minilight,16468892486.,86668650.4135
numal-durand-kerner-aberth,87207982.9565,205426.966652
numal-fft,3715278840.33,30932968.2603
numal-k-means,231451123.389,1634623.42955
numal-levinson-durbin,1601716423.67,1467244.71048
numal-lu-decomposition,919929292.4,2462194.84554
numal-naive-multilayer,2760864409.,6939524.51707
numal-qr-decomposition,1307862741.,540659.6481
numal-rnd_access,6135809273.,5074830.41526
numal-simple_access,8017026005.5,68645203.7819
sequence,835834430.2,302353.792187
sequence-cps,1613737472.5,14234456.4189
setrip,1015439394.,12249373.7094
setrip-smallbuf,1014867322.2,21412440.846

