time_real,4.06.1+trunk+bench,
almabench,1611433789.5,24198605.7776
bdd,191567496.,2113308.25977
cpdf-merge,4117285370.33,18740328.8666
cpdf-reformat,6545780440.,25205845.278
cpdf-squeeze,9380529433.67,15031884.5186
cpdf-transform,2147195948.,19710816.693
frama-c-deflate,26461428427.5,23113092.5835
frama-c-idct,179795952.,nan
jsontrip-sample,14488086.2708,488593.605555
kb,429857241.2,2917572.38623
kb-no-exc,298740625.643,8905056.87273
lexifi-g2pp,9661162171.5,4039147.37631
menhir-fancy,10523354.8871,865331.750075
menhir-sql,3140955553.33,22798352.5059
menhir-standard,7761892.78295,63393.8829874
minilight,12494437520.3,59221322.5731
numal-durand-kerner-aberth,77035671.1538,260523.850338
numal-fft,1337126293.67,6973468.79134
numal-k-means,77627009.9423,970059.607842
numal-levinson-durbin,1409183351.33,1327317.51071
numal-lu-decomposition,773591133.5,17130551.8409
numal-naive-multilayer,2367962864.,2587037.84021
numal-qr-decomposition,1176149677.75,2671806.10118
numal-rnd_access,4003380228.67,6831015.73332
numal-simple_access,2936746618.,2882129.05635
sauvola-contrast,1785857.,nan
sequence,844622085.,491765.453321
sequence-cps,869716522.6,4811555.02225
setrip,893827456.6,10564009.1629
setrip-smallbuf,898218675.8,14480081.2909

