time_real,4.06.1+multicore+cas-promotion+bench,
almabench,1709273626.33,1428995.01011
bdd,212587220.421,1291843.83838
cpdf-merge,7691623261.33,16768558.5295
cpdf-reformat,8818764294.,13016603.266
cpdf-squeeze,13748706422.,25877838.9746
cpdf-transform,2347896234.,16153411.3616
jsontrip-sample,19250633.7212,221736.888211
kb,523535834.,548813.628003
kb-no-exc,357126669.5,3927227.78642
lexifi-g2pp,9972059756.33,43891334.2194
menhir-fancy,18768930.7944,176798.910683
menhir-sql,4107393584.,24003700.3783
menhir-standard,14561052.32,165739.056412
minilight,15117471576.5,3163334.81663
numal-durand-kerner-aberth,87970148.4348,172318.295611
numal-fft,3772001575.,18220482.7855
numal-k-means,236496888.294,3618729.60223
numal-levinson-durbin,1610287053.,1705134.47968
numal-lu-decomposition,936051560.8,2703469.02852
numal-naive-multilayer,2765711013.5,2939029.23193
numal-qr-decomposition,1308741006.75,500655.768176
numal-rnd_access,5519367625.33,18659782.0705
numal-simple_access,8042150457.,6018248.04008
sequence,845604702.6,397192.016644
sequence-cps,1238936835.,1705086.66799
setrip,995622618.8,11100365.897
setrip-smallbuf,1001998707.25,13507631.9535

