time_real,4.06.1+multicore+bench,
almabench,1669166359.67,543692.728217
bdd,204778250.95,981500.861582
cpdf-merge,5999622094.,nan
cpdf-reformat,7863298161.,nan
cpdf-squeeze,12129488680.2,93168452.132
cpdf-transform,2168900335.33,6833417.76061
jsontrip-sample,17722192.7743,327063.053762
kb,468610333.333,3602315.00144
kb-no-exc,317257915.,nan
lexifi-g2pp,9870640050.25,84194356.2655
menhir-fancy,15341605.4023,1210732.35163
menhir-sql,3426441464.,nan
menhir-standard,11384041.1364,76778.5500935
minilight,14619846753.,41653915.4911
numal-durand-kerner-aberth,81831559.1429,234236.858347
numal-fft,2373788607.25,39094402.4009
numal-k-means,89936575.9556,823050.625699
numal-levinson-durbin,1483045279.33,5916186.00973
numal-lu-decomposition,858586575.2,6785578.17318
numal-naive-multilayer,2527551362.67,6167033.68816
numal-qr-decomposition,1144356713.75,617723.881836
numal-rnd_access,5355083570.5,1261948.72365
numal-simple_access,2512704606.,6352214.50597
sequence,894716148.8,1238471.72687
sequence-cps,1135349893.25,10423782.4752
setrip,982033227.8,12009929.3838
setrip-smallbuf,981448116.6,13057054.1778

