time_real,4.06.1+trunk+bench,
almabench,1603464857.67,9784717.2683
bdd,192058652.095,6486788.58141
cpdf-merge,4143389366.,20405842.5062
cpdf-reformat,6532512767.33,9734509.34933
cpdf-squeeze,9378355778.5,8117791.61609
cpdf-transform,2132306104.67,13777357.924
frama-c-deflate,26240875321.3,40866978.8966
frama-c-idct,178984916.,nan
jsontrip-sample,14506731.6304,314227.147555
kb,428838879.,2097105.24038
kb-no-exc,294592040.571,6940528.09785
lexifi-g2pp,9670827710.,1458904.12516
menhir-fancy,10524010.0367,328739.062317
menhir-sql,3139707682.33,22315264.485
menhir-standard,7786423.33074,66815.3485625
minilight,12484920147.3,26819213.0645
numal-durand-kerner-aberth,76924346.4615,219241.307576
numal-fft,1335797349.,10623195.9528
numal-k-means,77193120.,952760.999685
numal-levinson-durbin,1409029408.,2018590.11552
numal-lu-decomposition,768256986.5,14492746.549
numal-naive-multilayer,2368030832.,5602928.0382
numal-qr-decomposition,1173594966.5,1009884.07443
numal-rnd_access,4006711052.5,1740553.94849
numal-simple_access,2948141668.,4485282.67698
sauvola-contrast,1720825.,nan
sequence,844640698.8,856571.025457
sequence-cps,863904983.4,2240543.51136
setrip,891929081.8,4226055.44767
setrip-smallbuf,889368442.6,9862782.85317

