time_real,4.06.1+multicore+bench,
almabench,1725665864.75,21995837.997
bdd,210967107.579,1922292.80154
cpdf-merge,7595438958.25,77132097.1873
cpdf-reformat,8725607217.33,22086352.1734
cpdf-squeeze,13572465930.,22260086.8772
cpdf-transform,2325046175.,14537637.7298
jsontrip-sample,19068573.9,248593.827548
kb,521085523.375,2612022.59015
kb-no-exc,344282699.833,4062917.75191
lexifi-g2pp,9975680785.67,48257521.6321
menhir-fancy,18645398.1256,343965.488663
menhir-sql,4037776990.25,54030939.1216
menhir-standard,14453152.639,143825.482512
minilight,15146102503.3,24142123.0705
numal-durand-kerner-aberth,86789166.6383,220065.229186
numal-fft,3554181110.,9034908.86704
numal-k-means,233615774.222,4764904.38279
numal-levinson-durbin,1603173941.,614606.510109
numal-lu-decomposition,937174924.333,21760917.513
numal-naive-multilayer,2759483449.25,25049125.6196
numal-qr-decomposition,1308802461.75,353839.897338
numal-rnd_access,5486692861.5,926939.915496
numal-simple_access,8001777209.,225786.266301
sequence,836900290.6,301452.497408
sequence-cps,1235864559.6,28181101.1915
setrip,991010095.4,7264615.22001
setrip-smallbuf,990365926.4,11213507.2241

