time_real,4.06.1+multicore+cas-promotion+bench,
almabench,1731933054.6,75586427.8853
bdd,212420496.421,854072.259209
cpdf-merge,7670258926.33,21318988.0475
cpdf-reformat,8809749454.,10743501.64
cpdf-squeeze,13749486758.7,37174388.7989
cpdf-transform,2356328798.,13047233.2813
jsontrip-sample,19228858.0861,238212.080758
kb,523398454.375,1335787.19223
kb-no-exc,358583633.,7937801.22931
lexifi-g2pp,9952209816.5,2873935.81008
menhir-fancy,18929718.1604,1433129.17098
menhir-sql,4140334067.5,69065492.4918
menhir-standard,14535943.8804,86907.264401
minilight,15105365983.,3725187.01571
numal-durand-kerner-aberth,87792385.3043,189874.169444
numal-fft,3779398612.33,11754595.2734
numal-k-means,234712052.667,1449950.34012
numal-levinson-durbin,1607943872.,714697.371389
numal-lu-decomposition,936447162.8,5805692.2905
numal-naive-multilayer,2767581205.67,12803715.6036
numal-qr-decomposition,1308662197.25,788447.708588
numal-rnd_access,5513128629.5,4524245.25562
numal-simple_access,8061198239.67,17483489.1651
sequence,845607472.4,634220.403427
sequence-cps,1242105186.,3270042.2793
setrip,994214007.2,6387777.6283
setrip-smallbuf,986673471.4,3487860.72963

