time_real,4.06.1+multicore+xchg-writes+bench,
almabench,1716751889.67,12957505.2841
bdd,213054946.263,1071257.58701
cpdf-merge,7599107843.,30064204.8979
cpdf-reformat,8767215409.67,18730145.2439
cpdf-squeeze,13632726730.7,39663323.3059
cpdf-transform,2333321117.67,17258017.5992
jsontrip-sample,21636122.5297,498672.730185
kb,518541505.25,4341515.92207
kb-no-exc,345981099.417,2965603.4608
lexifi-g2pp,9915193191.,8024189.77015
menhir-fancy,19493533.4903,2632500.06812
menhir-sql,4068153210.75,29310049.0077
menhir-standard,14925311.6208,101752.919266
minilight,16427491505.3,27391939.6391
numal-durand-kerner-aberth,87068368.2174,205407.2952
numal-fft,3703242741.67,18114863.071
numal-k-means,231939571.778,738051.203548
numal-levinson-durbin,1601745981.33,1479865.19697
numal-lu-decomposition,922848298.6,2759954.91601
numal-naive-multilayer,2759230629.33,2760564.03737
numal-qr-decomposition,1308069754.25,409962.629227
numal-rnd_access,6142747373.,1647997.20637
numal-simple_access,8105414004.,2971412.60118
sequence,835877524.6,212558.985079
sequence-cps,1607003779.33,752728.618973
setrip,1012612436.,10467031.0802
setrip-smallbuf,1013022470.25,12210430.1893

