time_real,4.06.1+multicore+bench,,4.06.1+multicore+cas-promotion+bench,,4.06.1+multicore+xchg-writes+bench,,4.06.1+trunk+bench,
almabench,1.,0.0254414238318,0.98437569038,0.000392611071693,0.997490034581,0.0154376530975,0.924783047646,0.005622903672
bdd,0.989047638905,0.00535487055362,0.995647806451,0.0041116823096,1.,0.00552577352005,0.899015893684,0.00423693378219
cpdf-merge,0.99308463801,0.00412773306832,1.,0.000964072219729,0.99624353064,0.00430678518236,0.538364211762,0.00130970157441
cpdf-reformat,0.995371571251,0.0049946412599,1.,0.000974811160907,0.996226077648,0.00168669028596,0.742499259156,0.00117011246675
cpdf-squeeze,0.98892233779,0.00104332464008,1.,0.0021279170964,0.995199569696,0.00349354077436,0.682051200711,0.00351873475864
cpdf-transform,0.989399035168,0.00876051086858,1.,0.00870499822921,0.991117444953,0.00829650011931,0.907646069872,0.00331552700134
frama-c-deflate,,,,,,,1.,0.00891139338285
frama-c-idct,,,,,,,1.,nan
jsontrip-sample,0.884911403932,0.0224278423595,0.890254809057,0.0212081650524,1.,0.0243113396997,0.668188955901,0.0163702257209
kb,0.991428786946,0.00195882013377,1.,0.00271714154859,0.984101853177,0.00236001548076,0.820177449252,0.00446549215288
kb-no-exc,0.970175617666,0.0194342355693,1.,0.00385461077203,0.976319967954,0.0123450541341,0.836198157498,0.0290401435705
lexifi-g2pp,0.983807217972,0.000242882395894,1.,0.0220807452121,0.984806474903,0.00183253791264,0.96012897662,0.000122880675972
menhir-fancy,0.977796650922,0.0249190111374,0.985843354666,0.0699821417663,1.,0.00600035759539,0.562952383442,0.0685414975159
menhir-sql,0.979703649925,0.00750992460314,1.,0.00805401656494,0.992580640989,0.0070679799039,0.771660271879,0.00432425353855
menhir-standard,0.966311155381,0.00723988524531,0.977567955292,0.033133415912,1.,0.0180534416947,0.519830305324,0.00391908458113
minilight,0.92111332233,6.78206052372e-05,0.920513999987,0.000810444094858,1.,0.00301504940431,0.759338964861,0.00121612695022
numal-durand-kerner-aberth,0.987350322847,0.00205591428365,1.,0.00171927185048,0.991841166585,0.00263041924427,0.875903645076,0.0025005753269
numal-fft,0.940911015519,0.00128739056597,1.,0.000733755921556,0.979764732277,0.00904436583746,0.360914075466,0.0126728354924
numal-k-means,0.982653796553,0.00330396046445,1.,0.0267406569319,0.983580542374,0.0109433628818,0.328356683369,0.00341153185489
numal-levinson-durbin,0.992864414047,0.00135664264766,1.,0.00147455919387,0.995034412864,0.00114232999863,0.875473003693,0.000270804369961
numal-lu-decomposition,0.984094675525,0.00799440443324,1.,0.00122111560744,0.98565242641,0.001676863525,0.820758382855,0.00516036115135
numal-naive-multilayer,0.995045471973,0.00163840391833,1.,0.000219995772587,0.99738663405,0.000944452033256,0.856638467985,0.00168341410384
numal-qr-decomposition,0.999573985054,0.000694902038276,0.999905563137,0.000478387641947,1.,0.000660257272853,0.896589403532,0.000567098885482
numal-rnd_access,0.893045327624,0.000306470384409,0.898422903496,0.000866393256175,1.,0.000879346981782,0.652239900039,0.000554059236076
numal-simple_access,0.990823350861,0.00363717940035,0.99911884036,0.00195338235802,1.,0.000721954684286,0.364191471697,9.6234280252e-05
sauvola-contrast,,,,,,,1.,nan
sequence,0.991129270877,0.00128827318292,1.,0.000694866994201,0.988543840916,0.000674852550268,0.998282202268,0.000903661108967
sequence-cps,0.764940150352,0.00768638451032,0.780336497383,0.00708788300663,1.,0.000577336873198,0.541608212222,0.00655095554898
setrip,,,,,,,1.,0.00693167027796
setrip-smallbuf,,,,,,,1.,0.0143491501853

size,4.06.1+multicore+bench,,4.06.1+multicore+cas-promotion+bench,,4.06.1+multicore+xchg-writes+bench,,4.06.1+trunk+bench,
almabench,0.988605364856,0.,1.,0.,0.988496249148,0.,0.821142305069,0.
bdd,0.987531106659,0.,1.,0.,0.987426188283,0.,0.818081370759,0.
cpdf-merge,0.986557731178,0.,1.,0.,0.986540805143,0.,0.866564134861,0.
