time_real,4.06.1+trunk+bench,
almabench,1605012689.67,9758863.73491
bdd,191544948.238,902724.042699
cpdf-merge,4121702945.33,10027042.5092
cpdf-reformat,6535839104.67,10299898.246
cpdf-squeeze,9393555983.33,48461804.4969
cpdf-transform,2136488738.,7804348.3402
frama-c-deflate,26392548868.,235194385.339
frama-c-idct,181295055.,nan
jsontrip-sample,14476305.4224,354660.736722
kb,429929470.6,2340769.8895
kb-no-exc,297471150.643,10330810.7597
lexifi-g2pp,9679207586.,1238778.95575
menhir-fancy,10762787.8548,1310408.51538
menhir-sql,3165991877.33,17741682.548
menhir-standard,7789289.33463,58724.7096151
minilight,12476979259.,19982631.5209
numal-durand-kerner-aberth,77011599.9038,219856.724752
numal-fft,1366724616.,47990026.9882
numal-k-means,77595769.1923,806197.808091
numal-levinson-durbin,1409694257.67,436051.55576
numal-lu-decomposition,768838701.5,4833926.09781
numal-naive-multilayer,2368314662.,4654068.72717
numal-qr-decomposition,1173767456.75,742415.886152
numal-rnd_access,4010531022.,3406831.98648
numal-simple_access,2961248490.,782482.949847
sauvola-contrast,1749389.,nan
sequence,844441044.4,764401.618006
sequence-cps,870313866.8,10526774.3849
setrip,892826421.,6188778.36583
setrip-smallbuf,898245721.8,12889062.7654

