time_real,4.06.1+multicore+xchg-writes+bench,
almabench,1731199731.,26792910.1676
bdd,213060691.789,1177325.12885
cpdf-merge,7627215563.,32972639.6801
cpdf-reformat,8769265794.,14847067.1082
cpdf-squeeze,13706394568.,48114820.1334
cpdf-transform,2332970228.67,19528954.7965
jsontrip-sample,21664987.5676,526704.872345
kb,515857134.5,1237098.3952
kb-no-exc,347318421.667,4391659.35141
lexifi-g2pp,9927985234.,18474095.9783
menhir-fancy,19118469.2905,114717.652419
menhir-sql,4072390871.33,28998728.8194
menhir-standard,14984292.4794,270518.050613
minilight,16431369699.7,49541391.4249
numal-durand-kerner-aberth,87205111.5652,231272.920895
numal-fft,3710214337.75,34249585.3346
numal-k-means,232435313.833,2586086.11724
numal-levinson-durbin,1602213080.33,1839389.71578
numal-lu-decomposition,923301848.,1570788.19063
numal-naive-multilayer,2757435578.,2611089.37027
numal-qr-decomposition,1309147143.75,864373.922896
numal-rnd_access,6148858758.5,5406980.39069
numal-simple_access,8131020960.5,5870228.67046
sequence,836203421.8,570853.803734
sequence-cps,1606906703.33,927726.491623

