time_real,4.06.1+multicore+cas-promotion+bench,
almabench,1708439053.33,681398.468295
bdd,212133410.421,876037.877302
cpdf-merge,7655974998.5,7380912.81099
cpdf-reformat,8802485691.5,8580761.2958
cpdf-squeeze,13772508535.3,29306756.3726
cpdf-transform,2353878685.67,20490509.7905
jsontrip-sample,19287359.3702,459474.632191
kb,524190796.75,1424300.59324
kb-no-exc,355742413.417,1371248.53882
lexifi-g2pp,10081153492.6,222599381.714
menhir-fancy,18847815.9014,1337951.42824
menhir-sql,4102831249.33,33044270.8453
menhir-standard,14648164.1606,496480.794867
minilight,15125305847.5,13316706.5435
numal-durand-kerner-aberth,87922456.2391,151162.604037
numal-fft,3786842101.5,2778617.81597
numal-k-means,236315485.941,6319231.33726
numal-levinson-durbin,1610208712.,2374348.06033
numal-lu-decomposition,936741820.2,1143870.05678
numal-naive-multilayer,2764660648.,608213.655197
numal-qr-decomposition,1309023512.,626279.815061
numal-rnd_access,5524275539.,5327329.76154
numal-simple_access,8123856233.,15882992.8969
sequence,845894119.4,587783.90416
sequence-cps,1253927948.5,11389566.7158

