time_real,4.06.1+multicore+bench,
almabench,1699653300.75,24117054.3916
bdd,205487165.25,940888.038532
cpdf-merge,6043087597.,50034883.1692
cpdf-reformat,7882373044.67,19426877.3203
cpdf-squeeze,12107288059.7,50753722.1439
cpdf-transform,2169936238.33,17640891.4438
jsontrip-sample,18176864.0045,429302.300954
kb,467065683.222,3636262.60767
kb-no-exc,321757671.923,8297328.59613
lexifi-g2pp,9830360153.5,5178782.89027
menhir-fancy,18934728.8019,1950458.37672
menhir-sql,3526632882.25,31677560.5484
menhir-standard,14339690.3584,88557.7317375
minilight,14830222545.7,36933989.9436
numal-durand-kerner-aberth,82771105.4286,221928.287395
numal-fft,2347740718.,19623744.5095
numal-k-means,228296478.833,3276038.68255
numal-levinson-durbin,1484609440.67,1778252.74382
numal-lu-decomposition,876038391.,19785592.6401
numal-naive-multilayer,2554134923.4,43228202.0907
numal-qr-decomposition,1160309961.25,1493858.05077
numal-rnd_access,5442865418.5,6042836.26418
numal-simple_access,2544305278.75,27905593.2448
sequence,809035823.8,1596085.18501
sequence-cps,1146718255.25,11728953.067
setrip,984037047.8,7425836.50515
setrip-smallbuf,979551170.6,12278504.7162

