time_real,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+multicore-lazy+bench,,4.06.1+scheduling+bench,
lexifi-g2pp,1001736.,0.,1001736.,0.,1002788.,0.,902422.,0.
menhir-fancy,3971819.,0.,3971819.,0.,4000769.,0.,3274604.,0.
menhir-list-errors,3971819.,0.,,,4000769.,0.,,
menhir-sql,3971819.,0.,3971819.,0.,4000769.,0.,3274604.,0.
menhir-standard,3971819.,0.,3971819.,0.,4000769.,0.,3274604.,0.
menhir-sysver,3971819.,0.,,,4000769.,0.,,
minilight,1615920.,0.,1615920.,0.,1618545.,0.,1337413.,0.
numal-durand-kerner-aberth,953621.,0.,953621.,0.,954673.,0.,844509.,0.
numal-fft,821121.,0.,821121.,0.,822173.,0.,746113.,0.
numal-k-means,13645391.,0.,13645391.,0.,13646443.,0.,8398807.,0.
numal-levinson-durbin,539542.,0.,539542.,0.,540594.,0.,503338.,0.
numal-lu-decomposition,1529305.,0.,1529305.,0.,1530357.,0.,1210873.,0.
numal-naive-multilayer,1225322.,0.,1225322.,0.,1226374.,0.,1074920.,0.
numal-qr-decomposition,1025499.,0.,1025499.,0.,1026551.,0.,918819.,0.
numal-rnd_access,517388.,0.,517388.,0.,518440.,0.,458110.,0.
numal-simple_access,423471.,0.,423471.,0.,424523.,0.,387771.,0.
patdiff,,,,,,,18398582.,0.
sequence,953978.,0.,953978.,0.,956587.,0.,859450.,0.
sequence-cps,768825.,0.,768825.,0.,769877.,0.,704281.,0.
setrip,1368581.,0.,1368581.,0.,1371206.,0.,1168042.,0.
setrip-smallbuf,1368581.,0.,1368581.,0.,1371206.,0.,1168042.,0.

code_size,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+multicore-lazy+bench,,4.06.1+scheduling+bench,
almabench,606068.,0.,606068.,0.,607096.,0.,528172.,0.
bdd,638145.,0.,638145.,0.,639173.,0.,554433.,0.
cpdf-merge,3570136.,0.,3570136.,0.,3573073.,0.,3124170.,0.
cpdf-reformat,3570136.,0.,3570136.,0.,3573073.,0.,3124170.,0.
cpdf-squeeze,3570136.,0.,3570136.,0.,3573073.,0.,3124170.,0.
cpdf-transform,3570136.,0.,3570136.,0.,3573073.,0.,3124170.,0.
jsontrip-sample,1288011.,0.,1288011.,0.,1290196.,0.,1061560.,0.
kb,667682.,0.,667682.,0.,668710.,0.,583570.,0.
kb-no-exc,670937.,0.,670937.,0.,671965.,0.,586625.,0.
lexifi-g2pp,768420.,0.,768420.,0.,769448.,0.,664514.,0.
menhir-fancy,2938139.,0.,2938139.,0.,2960697.,0.,2371292.,0.
menhir-list-errors,2938139.,0.,,,2960697.,0.,,
menhir-sql,2938139.,0.,2938139.,0.,2960697.,0.,2371292.,0.
menhir-standard,2938139.,0.,2938139.,0.,2960697.,0.,2371292.,0.
menhir-sysver,2938139.,0.,,,2960697.,0.,,
minilight,1261384.,0.,1261384.,0.,1263569.,0.,1014229.,0.
numal-durand-kerner-aberth,743953.,0.,743953.,0.,744981.,0.,634409.,0.
numal-fft,636189.,0.,636189.,0.,637217.,0.,553325.,0.
numal-k-means,11005995.,0.,11005995.,0.,11007023.,0.,7160195.,0.
numal-levinson-durbin,332978.,0.,332978.,0.,334006.,0.,283830.,0.
numal-lu-decomposition,1145461.,0.,1145461.,0.,1146489.,0.,891973.,0.
numal-naive-multilayer,874206.,0.,874206.,0.,875234.,0.,733420.,0.
numal-qr-decomposition,759351.,0.,759351.,0.,760379.,0.,652015.,0.
numal-rnd_access,405448.,0.,405448.,0.,406476.,0.,336426.,0.
numal-simple_access,330827.,0.,330827.,0.,331855.,0.,282055.,0.
patdiff,,,,,,,14145694.,0.
sequence,742774.,0.,742774.,0.,744975.,0.,643206.,0.
sequence-cps,593781.,0.,593781.,0.,594809.,0.,519461.,0.
setrip,1068285.,0.,1068285.,0.,1070470.,0.,882298.,0.
setrip-smallbuf,1068285.,0.,1068285.,0.,1070470.,0.,882298.,0.

data_size,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+multicore-lazy+bench,,4.06.1+scheduling+bench,
almabench,185956.,0.,185956.,0.,185980.,0.,194356.,0.
bdd,186532.,0.,186532.,0.,186556.,0.,194196.,0.
cpdf-merge,1855832.,0.,1855832.,0.,1856496.,0.,1790856.,0.
cpdf-reformat,1855832.,0.,1855832.,0.,1856496.,0.,1790856.,0.
cpdf-squeeze,1855832.,0.,1855832.,0.,1856496.,0.,1790856.,0.
cpdf-transform,1855832.,0.,1855832.,0.,1856496.,0.,1790856.,0.
jsontrip-sample,368968.,0.,368968.,0.,369376.,0.,344720.,0.
kb,195940.,0.,195940.,0.,195964.,0.,204148.,0.
kb-no-exc,196676.,0.,196676.,0.,196700.,0.,204852.,0.
lexifi-g2pp,233316.,0.,233316.,0.,233340.,0.,237908.,0.
menhir-fancy,1033680.,0.,1033680.,0.,1040072.,0.,903312.,0.
