time_real,4.06.1+multicore+bench,,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+multicore-lazy+bench,,4.06.1+scheduling+bench,,4.06.1+trunk+bench,,4.08.0+optim_local_tailcalls+bench,,4.08.0+optim_local_tailcalls+flambda+bench,,4.08.0+trunk+bench,,4.08.0+trunk+flambda+bench,
almabench,1664322409.67,10521560.6774,1685576088.6,33668689.0407,1668586097.67,772887.005315,1669235916.33,519620.77909,1611065374.,19014356.7273,1608446974.5,16316627.4216,1631214763.,53014002.0016,1618635967.33,13745362.4701,1619783361.,40095473.9093,1596024311.33,506916.055883
bdd,205232165.15,1209454.73427,205913458.95,1260070.59201,206536502.15,958739.234452,204124324.35,1098531.59829,190751397.048,1334426.03388,191395819.333,1179510.33783,189981317.091,935686.665114,209326363.45,821230.047966,192323657.381,567135.97493,210743588.158,903221.419985
cpdf-merge,5381065976.67,40332085.8685,5377113190.,nan,5368945130.,nan,5446910267.,nan,3929011655.33,4372643.14454,4123010175.,12656061.8061,4036673517.,7683520.02591,4116106662.,4521519.35898,4270052192.67,20765567.551,4121223077.,17003394.0141
cpdf-reformat,7486278193.67,21190382.5014,7566063717.,nan,7576444011.,nan,7557301467.,nan,6520455400.,2694322.90948,6529420245.,684473.707334,6582487625.,57104441.5677,6529471220.67,10471546.4807,6584023352.33,11938888.4393,6683292523.,1389363.00166
cpdf-squeeze,11381247006.7,21346992.6485,11574092279.7,30910892.1924,11556740672.,2792194.97328,11552849107.,60506140.6515,9439977646.,8301266.73393,9395209660.5,9313845.76591,9334477007.5,335446.507247,9430935376.67,16449964.0915,9196477065.67,26128370.4699,9402149061.67,40900190.991
cpdf-transform,2121572153.33,7385952.42625,2121850015.25,19469103.067,2109288356.,5711669.69621,2126624489.67,9852175.56003,2177254657.33,12220670.8443,2131737700.33,7895064.57756,2139361996.67,9014841.79944,2135986182.67,2793245.31844,2154638154.75,23837605.9144,2153928614.67,14160861.0558
jsontrip-sample,17948092.0359,271648.898213,18081462.1982,533761.880555,17867316.6295,283657.090626,17781751.6133,711120.793758,15351101.6322,319137.909523,14490265.9856,340609.919105,,,,,,,,
kb,455047731.889,6387746.48014,459987651.222,744112.487219,459553907.222,798524.174801,460064067.222,3620699.93232,423950441.4,4218710.92182,432512405.6,4636712.98584,436644029.1,1866408.47648,420052263.3,3673653.69583,436871196.6,1941029.7698,427190010.5,1594607.75762
kb-no-exc,294757403.929,1053352.98716,305639538.,nan,304577349.,nan,295886358.,nan,284078425.6,1704620.09008,295009965.643,7230766.24308,292555707.071,7497528.76804,291991228.786,3270315.48527,293185214.643,2250916.26368,294362892.929,4630703.21612
lexifi-g2pp,9948926893.86,340228899.491,9824465160.5,4396140.13429,9834937481.,8418056.6572,9837383750.5,1963127.12158,9779658739.4,163597841.272,9661088370.5,10060428.9045,9641626581.5,2263742.25589,9552052970.5,397430.073473,9710613947.,75304519.2313,9651854176.75,154830138.026
menhir-fancy,14990315.7266,95668.8135687,15678594.3711,1582552.17826,15048530.9699,168718.000259,15166750.7424,297833.541697,10343391.5736,903994.924595,10923263.2016,1713664.52792,,,,,,,,
menhir-list-errors,193862436703.,3125333205.57,191412635914.,nan,,,196700663471.,nan,,,121230082048.,500394569.637,,,,,,,,
menhir-sql,3320293612.33,16660908.9575,3286810524.,nan,3305068893.,nan,3430248567.,nan,3086766895.67,25653486.0777,3133113356.25,29448623.9792,,,,,,,,
menhir-standard,11854439.6627,1302857.98711,11558519.4726,910126.023962,11477118.9169,92759.9051938,11761731.8182,955503.686502,7799253.57505,80079.2361016,8018497.50902,373469.91264,,,,,,,,
menhir-sysver,52989693744.7,108656275.111,52569296754.,nan,,,52869569612.,nan,,,45969942019.,36944111.8301,,,,,,,,
minilight,14470121146.7,26023850.9792,14602049264.3,20218696.8629,14645574524.,1628434.39016,14451368617.5,12545762.1621,12543328391.,12566489.5832,12463315275.,4830270.46392,12454112284.,10722929.0347,14700716719.3,12373212.9742,12536714342.,34547285.1851,14858043568.7,48917399.9704
numal-durand-kerner-aberth,81928018.0408,181042.415825,82124564.7755,227797.218443,82225682.1429,246940.999261,81957241.3265,239133.373001,77618887.6538,291763.919717,76954395.3462,251534.509953,77083947.3077,264698.654996,76825046.7736,221156.264847,77186475.3462,223230.815969,77139526.1538,1529598.00355
