time_real,4.06.1+multicore+bench,,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+multicore-lazy+bench,,4.06.1+scheduling+bench,,4.06.1+trunk+bench,,4.08.0+optim_local_tailcalls+bench,,4.08.0+optim_local_tailcalls+flambda+bench,,4.08.0+trunk+bench,,4.08.0+trunk+flambda+bench,
almabench,1657617780.33,886702.138556,1685576088.6,33668689.0407,1668586097.67,772887.005315,1667821117.33,826339.217598,1611065374.,19014356.7273,1599782513.33,750356.375458,1615123407.83,39831264.8231,1601827479.33,261585.467342,1612320977.,15903651.5642,1596280759.33,1543262.78371
bdd,205080406.4,831883.274649,205913458.95,1260070.59201,206536502.15,958739.234452,204415398.9,927530.889937,190751397.048,1334426.03388,191174569.429,1203863.95633,190613361.238,1117863.79343,210243446.,1005019.30979,192482164.571,986683.149419,211174763.737,994361.265855
cpdf-merge,5400627666.,3601041.69236,5377113190.,nan,5368945130.,nan,5402801722.,nan,3929011655.33,4372643.14454,4132671701.,37937996.5084,4048748187.67,11478428.1869,4114288602.,14386904.7145,4257600938.33,7740927.9728,4108304450.5,194302.336868
cpdf-reformat,7457227266.33,11215226.2758,7566063717.,nan,7576444011.,nan,7716637561.,nan,6520455400.,2694322.90948,6543804976.5,5945573.72643,6556658376.5,2456864.43154,6554603905.67,24146970.6487,6591660251.5,1778842.36648,6582442415.5,3433607.99896
cpdf-squeeze,11374464975.7,28895676.6168,11574092279.7,30910892.1924,11556740672.,2792194.97328,11545309539.,25365489.823,9439977646.,8301266.73393,9392871841.5,7557801.22916,9333011548.,16628093.6733,9451748148.67,58115784.2624,9215886673.5,3867113.9533,9404404348.,28324587.6269
cpdf-transform,2110031247.5,1809858.89833,2121850015.25,19469103.067,2109288356.,5711669.69621,2114928283.,6065080.0505,2177254657.33,12220670.8443,2142715071.33,1724728.05212,2146618639.33,9824693.45234,2131724421.67,3709545.99577,2151846966.67,8825703.31439,2170815438.,11476433.5623
jsontrip-sample,17863764.4286,280352.236691,18081462.1982,533761.880555,17867316.6295,283657.090626,17812664.0356,763219.964437,15351101.6322,319137.909523,14546811.8109,369095.437161,,,,,,,,
kb,451854561.778,5144668.58792,459987651.222,744112.487219,459553907.222,798524.174801,462304492.444,6521870.66629,423950441.4,4218710.92182,432840031.,5499163.52959,436753369.4,1262204.82858,420511686.3,4518716.65707,436509477.2,1956174.1974,429317531.,4285371.45531
kb-no-exc,295644491.714,1483195.25141,305639538.,nan,304577349.,nan,295369730.,nan,284078425.6,1704620.09008,292699810.143,1095616.32504,290874428.571,2982124.88197,293361793.5,5140202.94942,295252886.,7090233.67119,293173122.143,2717429.57093
lexifi-g2pp,9783228914.5,76813.7167471,9824465160.5,4396140.13429,9834937481.,8418056.6572,9840112244.,7205367.1886,9779658739.4,163597841.272,9664418376.5,5356782.88029,9652412086.,41952983.3439,9555507890.,19812698.0711,9735027680.33,76911114.2133,9631154674.75,93694944.7669
menhir-fancy,14992291.6292,162093.687736,15678594.3711,1582552.17826,15048530.9699,168718.000259,15163219.6894,92594.7855497,10343391.5736,903994.924595,10448673.1488,168712.843134,,,,,,,,
menhir-list-errors,192094337968.,471386767.9,191412635914.,nan,,,196002135070.,nan,,,121388437199.,270372791.878,,,,,,,,
menhir-sql,3318733974.67,23793676.1033,3286810524.,nan,3305068893.,nan,3319542194.,nan,3086766895.67,25653486.0777,3117017216.,25554098.1802,,,,,,,,
menhir-standard,11651857.7791,764991.518628,11558519.4726,910126.023962,11477118.9169,92759.9051938,11623451.8232,357164.129996,7799253.57505,80079.2361016,8259782.34639,3969455.70309,,,,,,,,
menhir-sysver,52934524239.5,23561962.554,52569296754.,nan,,,52880801493.,nan,,,45975581499.3,59334495.0968,,,,,,,,
minilight,14450189868.,50600340.1509,14602049264.3,20218696.8629,14645574524.,1628434.39016,14488887090.,41575295.0363,12543328391.,12566489.5832,12481350649.3,19076866.1293,12463328343.,784469.919903,14738347315.,47914954.2755,12498109446.3,16352421.8797,14817293089.,9399164.56302
numal-durand-kerner-aberth,81774238.3061,304435.001968,82124564.7755,227797.218443,82225682.1429,246940.999261,82119210.6939,254166.243177,77618887.6538,291763.919717,76988875.9615,225303.459362,77222949.5,238830.274433,76953039.8462,224563.831941,77109749.7885,279429.497128,76959764.4423,180918.850205
numal-fft,2338342306.,1209050.77245,2350662597.33,14556912.6234,2356788833.67,15224874.5473,2320841422.67,6074106.33365,2215484507.,35061945.0729,2226529663.75,25678097.4991,2245014958.5,26264415.6422,2220636558.,13100389.3561,2186046510.33,18494174.0597,2205507486.,18169962.9514
numal-k-means,89536825.5333,927819.628686,90022337.8222,918365.377138,89973741.3333,847996.406454,90192047.1111,780574.263046,77849480.0577,759541.19974,77447945.6538,726924.244805,80995532.,1130384.7172,75506654.3396,648626.376945,81204236.88,1000055.57273,75340881.963,742643.203676
numal-levinson-durbin,1520858177.,3859462.20888,1519471460.33,1757874.7322,1520001585.67,1257978.5418,1526378209.33,6780641.2651,1417704864.67,5409860.10735,1407873872.33,1844207.65837,1408122600.67,505999.652012,1385747273.2,21946060.9406,1411055800.67,2332380.98412,1373331067.,1059976.04863
numal-lu-decomposition,858990534.8,3342373.98168,859548883.4,5566606.65435,852970779.2,5823612.42969,853284315.,13600046.2412,774607161.333,2095929.29242,769620943.667,8691943.08742,782815136.667,3582235.7205,632402741.429,6924025.56351,779069607.,4205854.17885,627124707.714,4201801.88572
numal-naive-multilayer,2484321272.,1189330.97854,2493526096.5,1032570.3549,2508613879.67,12382475.5146,2528471712.5,2032498.53945,2298667784.5,2148581.43129,2373579469.33,10261754.3156,2372780679.67,4975665.52665,2081759419.33,5905797.06598,2283710361.67,6437645.79835,2057665974.,852528.947592
numal-qr-decomposition,1143862280.75,1750040.99523,1146177917.,247155.28157,1146520379.,2221670.25824,1145903195.25,1539155.84973,1170013433.25,517757.332013,1173281162.5,540257.434458,1174912217.25,4088294.44107,1168483484.,2013133.47334,1173658332.25,266878.257895,1169459632.,2677580.55123
numal-rnd_access,5363832973.,4198316.40565,5312987329.67,5627485.16982,5316989421.,6941025.06547,5334192591.,903406.694712,4049523087.57,119560663.885,4020562698.25,52641358.9578,4091427780.,389689.375539,4159460482.,3860924.64764,4126170351.,4969080.37548,4088874628.,597683.421011
numal-simple_access,2163325530.25,17401958.6671,2210174710.33,2116423.36797,2241531986.25,23680139.7614,2174951538.67,10710738.8039,2676759265.33,5455631.25976,2934159389.5,2534271.41088,2999130586.,6471096.98265,3003988940.5,1835402.42369,3019613242.,1683305.87638,3002023631.,2178400.83136
patdiff,,,,,,,,,221553256.842,4768329.84697,222375710.167,5214091.00114,,,,,,,,
sequence,833355844.6,5573309.68473,821434941.6,1040840.54303,820129881.6,1327453.19073,819203441.6,459430.139811,847796697.8,1536321.5233,845188292.8,1704619.82431,812271255.,3657132.13162,634563831.286,660817.608533,861389753.6,2424016.3658,637077609.,1554220.36973
