time_real,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,
cpdf-squeeze,5425968.,0.,5425968.,0.,4915026.,0.
cpdf-transform,5425968.,0.,5425968.,0.,4915026.,0.
jsontrip-sample,1656979.,0.,1656979.,0.,1406280.,0.
kb,863622.,0.,863622.,0.,787718.,0.
kb-no-exc,867613.,0.,867613.,0.,791477.,0.
lexifi-g2pp,1001736.,0.,1001736.,0.,902422.,0.
menhir-fancy,3971819.,0.,3971819.,0.,3274604.,0.
menhir-list-errors,3971819.,0.,,,,
menhir-sql,3971819.,0.,3971819.,0.,3274604.,0.
menhir-standard,3971819.,0.,3971819.,0.,3274604.,0.
menhir-sysver,3971819.,0.,,,,
minilight,1615920.,0.,1615920.,0.,1337413.,0.
numal-durand-kerner-aberth,953621.,0.,953621.,0.,844509.,0.
numal-fft,821121.,0.,821121.,0.,746113.,0.
numal-k-means,13645391.,0.,13645391.,0.,8398807.,0.
numal-levinson-durbin,539542.,0.,539542.,0.,503338.,0.
numal-lu-decomposition,1529305.,0.,1529305.,0.,1210873.,0.
numal-naive-multilayer,1225322.,0.,1225322.,0.,1074920.,0.
numal-qr-decomposition,1025499.,0.,1025499.,0.,918819.,0.
numal-rnd_access,517388.,0.,517388.,0.,458110.,0.
numal-simple_access,423471.,0.,423471.,0.,387771.,0.
patdiff,,,,,18398582.,0.
sequence,953978.,0.,953978.,0.,859450.,0.
sequence-cps,768825.,0.,768825.,0.,704281.,0.
setrip,1368581.,0.,1368581.,0.,1168042.,0.
setrip-smallbuf,1368581.,0.,1368581.,0.,1168042.,0.

code_size,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,
almabench,606068.,0.,606068.,0.,528172.,0.
bdd,638145.,0.,638145.,0.,554433.,0.
cpdf-merge,3570136.,0.,3570136.,0.,3124170.,0.
cpdf-reformat,3570136.,0.,3570136.,0.,3124170.,0.
cpdf-squeeze,3570136.,0.,3570136.,0.,3124170.,0.
cpdf-transform,3570136.,0.,3570136.,0.,3124170.,0.
jsontrip-sample,1288011.,0.,1288011.,0.,1061560.,0.
kb,667682.,0.,667682.,0.,583570.,0.
kb-no-exc,670937.,0.,670937.,0.,586625.,0.
lexifi-g2pp,768420.,0.,768420.,0.,664514.,0.
menhir-fancy,2938139.,0.,2938139.,0.,2371292.,0.
menhir-list-errors,2938139.,0.,,,,
menhir-sql,2938139.,0.,2938139.,0.,2371292.,0.
menhir-standard,2938139.,0.,2938139.,0.,2371292.,0.
menhir-sysver,2938139.,0.,,,,
minilight,1261384.,0.,1261384.,0.,1014229.,0.
numal-durand-kerner-aberth,743953.,0.,743953.,0.,634409.,0.
numal-fft,636189.,0.,636189.,0.,553325.,0.
numal-k-means,11005995.,0.,11005995.,0.,7160195.,0.
numal-levinson-durbin,332978.,0.,332978.,0.,283830.,0.
numal-lu-decomposition,1145461.,0.,1145461.,0.,891973.,0.
numal-naive-multilayer,874206.,0.,874206.,0.,733420.,0.
numal-qr-decomposition,759351.,0.,759351.,0.,652015.,0.
numal-rnd_access,405448.,0.,405448.,0.,336426.,0.
numal-simple_access,330827.,0.,330827.,0.,282055.,0.
patdiff,,,,,14145694.,0.
sequence,742774.,0.,742774.,0.,643206.,0.
sequence-cps,593781.,0.,593781.,0.,519461.,0.
setrip,1068285.,0.,1068285.,0.,882298.,0.
setrip-smallbuf,1068285.,0.,1068285.,0.,882298.,0.

data_size,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,
almabench,185956.,0.,185956.,0.,194356.,0.
bdd,186532.,0.,186532.,0.,194196.,0.
cpdf-merge,1855832.,0.,1855832.,0.,1790856.,0.
cpdf-reformat,1855832.,0.,1855832.,0.,1790856.,0.
cpdf-squeeze,1855832.,0.,1855832.,0.,1790856.,0.
cpdf-transform,1855832.,0.,1855832.,0.,1790856.,0.
jsontrip-sample,368968.,0.,368968.,0.,344720.,0.
kb,195940.,0.,195940.,0.,204148.,0.
kb-no-exc,196676.,0.,196676.,0.,204852.,0.
lexifi-g2pp,233316.,0.,233316.,0.,237908.,0.
menhir-fancy,1033680.,0.,1033680.,0.,903312.,0.
menhir-list-errors,1033680.,0.,,,,
menhir-sql,1033680.,0.,1033680.,0.,903312.,0.
menhir-standard,1033680.,0.,1033680.,0.,903312.,0.
menhir-sysver,1033680.,0.,,,,
minilight,354536.,0.,354536.,0.,323184.,0.
numal-durand-kerner-aberth,209668.,0.,209668.,0.,210100.,0.
numal-fft,184932.,0.,184932.,0.,192788.,0.
numal-k-means,2639396.,0.,2639396.,0.,1238612.,0.
numal-levinson-durbin,206564.,0.,206564.,0.,219508.,0.
numal-lu-decomposition,383844.,0.,383844.,0.,318900.,0.
numal-naive-multilayer,351116.,0.,351116.,0.,341500.,0.
numal-qr-decomposition,266148.,0.,266148.,0.,266804.,0.
numal-rnd_access,111940.,0.,111940.,0.,121684.,0.
numal-simple_access,92644.,0.,92644.,0.,105716.,0.
patdiff,,,,,4252888.,0.
sequence,211204.,0.,211204.,0.,216244.,0.
sequence-cps,175044.,0.,175044.,0.,184820.,0.
setrip,300296.,0.,300296.,0.,285744.,0.
setrip-smallbuf,300296.,0.,300296.,0.,285744.,0.

minor_words,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,
almabench,1499328.,0.,1499312.,0.,11689156.,0.
bdd,78092092.,0.,78092090.,0.,76776821.,0.
cpdf-merge,190387747.,nan,186168648.,nan,197536374.,0.
cpdf-reformat,444797447.,nan,444797388.,nan,448744298.,0.
cpdf-squeeze,386787517.,0.,386787458.,0.,403639849.,0.
cpdf-transform,55783392.,0.,55783336.,0.,55760133.,0.
jsontrip-sample,5117396.,0.,5117393.,0.,7160787.,0.
kb,91006978.,0.,90482693.,0.,90578338.,0.
kb-no-exc,37609474.,nan,37609474.,nan,37503345.,0.
lexifi-g2pp,1583340401.,0.,1579408257.,0.,1678613139.,0.
menhir-fancy,1359673.,0.,1359670.,0.,2238238.,0.
menhir-list-errors,2407885033.,nan,,,,
menhir-sql,1007629243.,nan,1007629239.,nan,1032167599.,0.
menhir-standard,2585280.,0.,2585276.,0.,1432106.,0.
menhir-sysver,8153522224.,nan,,,,
minilight,9661072537.,0.,9665266779.,0.,9747431709.,0.
numal-durand-kerner-aberth,76667116.,0.,76667114.,0.,77414765.,0.
numal-fft,274390359.,0.,274390357.,0.,264242360.,0.
numal-k-means,2563666.,0.,2563666.,0.,102494197.,0.
numal-levinson-durbin,964969373.,0.,964969373.,0.,1000786333.,0.
numal-lu-decomposition,2318863.,0.,2318861.,0.,542217441.,0.
numal-naive-multilayer,2169189502.,0.,2163946625.,0.,2170639393.,0.
numal-qr-decomposition,1645562912.,0.,1645562910.,0.,1711440719.,0.
numal-rnd_access,1946796.,47183.5713782,1293732.66667,1097406.77277,200003742.571,14831.3726816
numal-simple_access,227632421.,0.,227632419.,0.,640006197.,0.
patdiff,,,,,36596917.,0.
sequence,749670793.,0.,749670770.,0.,750492639.,0.
sequence-cps,1502243949.,0.,1502243949.,0.,1501298736.,0.
setrip,169514388.,0.,169514388.,0.,170650262.,0.
setrip-smallbuf,171087555.,0.,171087555.,0.,170650237.,0.

major_words,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,
almabench,981.,0.,979.,0.,941.,0.
bdd,583198.,0.,583196.,0.,616827.,0.
cpdf-merge,91601903.,nan,90412572.,nan,94605527.,0.
cpdf-reformat,75226803.,nan,75226835.,nan,76049963.,0.
cpdf-squeeze,132492385.,0.,132492420.,0.,138741284.,0.
cpdf-transform,28027020.,0.,28027018.,0.,27860239.,0.
jsontrip-sample,26481.,0.,26478.,0.,29441.,0.
kb,4851134.,0.,4817598.,0.,4908177.,0.
kb-no-exc,4644391.,nan,4644391.,nan,4671664.,0.
lexifi-g2pp,266466.,0.,265899.,0.,280169.,0.
menhir-fancy,272105.,0.,272102.,0.,328731.,0.
menhir-list-errors,1136597006.,nan,,,,
menhir-sql,55248638.,nan,55248631.,nan,56164943.,0.
menhir-standard,242342.,0.,242338.,0.,271961.,0.
menhir-sysver,435451292.,nan,,,,
minilight,10553812.,0.,10557519.,0.,10642310.,0.
numal-durand-kerner-aberth,227971.,0.,227979.,0.,237996.,0.
numal-fft,139784463.,0.,139784461.,0.,140022140.,0.
numal-k-means,526364.,0.,526364.,0.,536219.,0.
numal-levinson-durbin,240820094.,0.,240820094.,0.,250070736.,0.
numal-lu-decomposition,4624734.,0.,4624732.,0.,7775146.,0.
numal-naive-multilayer,1259640.,0.,1256522.,0.,1284119.,0.
numal-qr-decomposition,2594492.,0.,2594502.,0.,2682974.,0.
numal-rnd_access,200000219.,0.,200000217.,0.,200000141.,0.
numal-simple_access,208961137.,0.,208961135.,0.,220001889.,0.
patdiff,,,,,8896447.,0.
sequence,37284.,0.,37288.,0.,37749.,0.
sequence-cps,201401.,0.,201401.,0.,214872.,0.
setrip,13231.,0.,13231.,0.,13279.,0.
setrip-smallbuf,13317.,0.,13317.,0.,13279.,0.

promoted_words,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,
almabench,903.,0.,901.,0.,941.,0.
bdd,444236.,0.,444234.,0.,477943.,0.
cpdf-merge,81102937.,nan,81048705.,nan,82892080.,0.
cpdf-reformat,64637309.,nan,64637341.,nan,65460559.,0.
cpdf-squeeze,120753073.,0.,120753108.,0.,123070655.,0.
cpdf-transform,26097001.,0.,26096999.,0.,25930310.,0.
jsontrip-sample,10007.,0.,10004.,0.,13053.,0.
kb,4851056.,0.,4817520.,0.,4908177.,0.
kb-no-exc,4644313.,nan,4644313.,nan,4671664.,0.
lexifi-g2pp,266388.,0.,265821.,0.,280169.,0.
menhir-fancy,140835.,0.,140832.,0.,179489.,0.
menhir-list-errors,417115774.,nan,,,,
menhir-sql,45544086.,nan,45544079.,nan,46172576.,0.
menhir-standard,106023.,0.,106019.,0.,123373.,0.
menhir-sysver,324378418.,nan,,,,
minilight,10537008.,0.,10540715.,0.,10625592.,0.
numal-durand-kerner-aberth,227893.,0.,227901.,0.,237996.,0.
numal-fft,134541499.,0.,134541497.,0.,134779254.,0.
numal-k-means,351089.,0.,351089.,0.,361022.,0.
numal-levinson-durbin,33720.,0.,33720.,0.,47317.,0.
numal-lu-decomposition,156740.,0.,156738.,0.,297668.,0.
numal-naive-multilayer,1259210.,0.,1256092.,0.,1283767.,0.
numal-qr-decomposition,2594414.,0.,2594424.,0.,2682974.,0.
