time_real,4.06.1+multicore+bench,
almabench,1681020938.,20447143.8468
bdd,205535399.4,1099805.23823
cpdf-merge,6017792761.,nan
cpdf-reformat,7941776036.,nan
cpdf-squeeze,12172631598.7,50889951.2254
cpdf-transform,2174307507.67,16816979.2326
jsontrip-sample,18176992.4615,303291.763849
kb,466733853.778,1174559.03299
kb-no-exc,316759480.,2003491.92538
lexifi-g2pp,9829147751.,754611.62896
menhir-fancy,18274833.0731,1252863.00266
menhir-sql,3508886984.,nan
menhir-standard,14323542.7821,107566.608803
minilight,14740763671.7,35335203.2503
numal-durand-kerner-aberth,82870295.1429,256222.844344
numal-fft,2336191335.33,16844056.5461
numal-k-means,224535264.556,925430.962036
numal-levinson-durbin,1484963935.67,1317110.05327
numal-lu-decomposition,867589709.8,7388051.10091
numal-naive-multilayer,2567269661.67,7015428.95606
numal-qr-decomposition,1160581850.5,1106188.63235
numal-rnd_access,5358581895.,621186.236205
numal-simple_access,2506628685.,3805864.08687
sequence,901269432.8,662037.222707
sequence-cps,1141020276.,888880.673522
setrip,975465718.4,6791896.77349
setrip-smallbuf,974678244.2,12667938.111

size,4.06.1+multicore+bench,
almabench,791238.,0.
bdd,823859.,0.
cpdf-merge,5425150.,0.
cpdf-reformat,5425150.,0.
cpdf-squeeze,5425150.,0.
cpdf-transform,5425150.,0.
jsontrip-sample,1656161.,0.
kb,862836.,0.
kb-no-exc,866827.,0.
lexifi-g2pp,1000918.,0.
menhir-fancy,3967979.,0.
menhir-sql,3967979.,0.
menhir-standard,3967979.,0.
minilight,1615102.,0.
numal-durand-kerner-aberth,952803.,0.
numal-fft,820303.,0.
numal-k-means,13667324.,0.
numal-levinson-durbin,538724.,0.
numal-lu-decomposition,1528487.,0.
numal-naive-multilayer,1224504.,0.
numal-qr-decomposition,1024681.,0.
numal-rnd_access,516570.,0.
numal-simple_access,422653.,0.
sequence,953160.,0.
sequence-cps,768039.,0.
setrip,1367763.,0.
setrip-smallbuf,1367763.,0.

code_size,4.06.1+multicore+bench,
almabench,605282.,0.
bdd,637327.,0.
cpdf-merge,3569318.,0.
cpdf-reformat,3569318.,0.
cpdf-squeeze,3569318.,0.
cpdf-transform,3569318.,0.
