time_real,4.06.1+trunk+bench,
almabench,1615443487.17,38978585.5952
bdd,191352814.333,1538624.16546
cpdf-merge,4129900956.67,15347182.4591
cpdf-reformat,6549273053.,5667569.74565
cpdf-squeeze,9417609473.5,7088316.26758
cpdf-transform,2132200918.5,1547875.8359
frama-c-deflate,26416105703.,124406393.974
frama-c-idct,178775422.,nan
jsontrip-sample,14513173.8913,358191.311212
kb,431346274.9,3737292.28297
kb-no-exc,293065460.071,3572596.53034
lexifi-g2pp,9747967243.8,163391292.926
menhir-fancy,10682431.744,1015190.28694
menhir-sql,3141179287.67,18403368.7264
menhir-standard,7860178.43418,85983.1291696
minilight,12494314672.7,64247948.8175
numal-durand-kerner-aberth,77003957.75,264554.149311
numal-fft,2211949361.33,19291031.7132
numal-k-means,77382144.0577,1249523.28811
numal-levinson-durbin,1407376629.33,607037.27646
numal-lu-decomposition,772020807.167,13621406.2885
numal-naive-multilayer,2381256813.33,19301501.5626
numal-qr-decomposition,1174935646.75,2731407.28557
numal-rnd_access,4038804309.25,54974699.2835
numal-simple_access,2960717616.67,9084727.07974
patdiff,219126213.053,4286689.1068
sauvola-contrast,1746612.,nan
sequence,844671995.8,583324.998858
sequence-cps,879657346.857,25780326.7126
setrip,899177127.,5873188.47741
setrip-smallbuf,889312943.8,7749861.39086

