time_real,4.06.1+multicore+bench,
almabench,1670416574.67,645167.124507
bdd,207654849.45,985756.372014
cpdf-merge,6080177937.,nan
cpdf-reformat,7892789119.,nan
cpdf-squeeze,12117675069.7,25973042.6426
cpdf-transform,2172959924.5,50974.620749
jsontrip-sample,17743550.7257,301283.184156
kb,466871143.556,1660376.05069
kb-no-exc,317133204.,nan
lexifi-g2pp,9829565744.5,3370996.52191
menhir-fancy,15108282.3434,100394.198902
menhir-sql,3430145087.,nan
menhir-standard,11498601.3592,459671.254673
minilight,14585553917.3,47699135.5167
numal-durand-kerner-aberth,81952996.6939,242405.959044
numal-fft,2368038303.67,16546586.5417
numal-k-means,89866224.8889,976995.745077
numal-levinson-durbin,1481657412.67,704153.756588
numal-lu-decomposition,853270839.6,2770557.20262
numal-naive-multilayer,2516275005.33,8428738.62649
numal-qr-decomposition,1144643364.5,253837.362234
numal-rnd_access,5353826316.,3839926.40467
numal-simple_access,2511894415.33,20911007.4229
sequence,894703837.4,1113598.76949
sequence-cps,1139131851.5,6223352.69258
setrip,979483675.,3440897.2782
setrip-smallbuf,972496724.8,9878994.04727

size,4.06.1+multicore+bench,
almabench,791504.,0.
bdd,824125.,0.
cpdf-merge,5425416.,0.
cpdf-reformat,5425416.,0.
cpdf-squeeze,5425416.,0.
cpdf-transform,5425416.,0.
jsontrip-sample,1656427.,0.
kb,863102.,0.
kb-no-exc,867093.,0.
lexifi-g2pp,1001184.,0.
menhir-fancy,3971235.,0.
menhir-sql,3971235.,0.
menhir-standard,3971235.,0.
minilight,1615368.,0.
numal-durand-kerner-aberth,953069.,0.
numal-fft,820569.,0.
numal-k-means,13644839.,0.
numal-levinson-durbin,538990.,0.
numal-lu-decomposition,1528753.,0.
numal-naive-multilayer,1224770.,0.
numal-qr-decomposition,1024947.,0.
numal-rnd_access,516836.,0.
numal-simple_access,422919.,0.
sequence,953426.,0.
sequence-cps,768305.,0.
setrip,1368029.,0.
setrip-smallbuf,1368029.,0.

code_size,4.06.1+multicore+bench,
almabench,605516.,0.
bdd,637561.,0.
cpdf-merge,3569552.,0.
cpdf-reformat,3569552.,0.
cpdf-squeeze,3569552.,0.
cpdf-transform,3569552.,0.
jsontrip-sample,1287427.,0.
kb,667130.,0.
kb-no-exc,670385.,0.
lexifi-g2pp,767836.,0.
menhir-fancy,2937555.,0.
menhir-sql,2937555.,0.
menhir-standard,2937555.,0.
minilight,1260800.,0.
numal-durand-kerner-aberth,743369.,0.
numal-fft,635605.,0.
numal-k-means,11005411.,0.
numal-levinson-durbin,332394.,0.
numal-lu-decomposition,1144877.,0.
numal-naive-multilayer,873622.,0.
numal-qr-decomposition,758767.,0.
numal-rnd_access,404864.,0.
numal-simple_access,330243.,0.
sequence,742190.,0.
sequence-cps,593229.,0.
setrip,1067701.,0.
setrip-smallbuf,1067701.,0.

data_size,4.06.1+multicore+bench,
almabench,185988.,0.
bdd,186564.,0.
cpdf-merge,1855864.,0.
cpdf-reformat,1855864.,0.
cpdf-squeeze,1855864.,0.
cpdf-transform,1855864.,0.
jsontrip-sample,369000.,0.
kb,195972.,0.
kb-no-exc,196708.,0.
lexifi-g2pp,233348.,0.
menhir-fancy,1033680.,0.
menhir-sql,1033680.,0.
menhir-standard,1033680.,0.
minilight,354568.,0.
