time_real,4.06.1+multicore+bench,
almabench,1715061664.33,10065819.0619
bdd,212100724.211,2030032.26888
jsontrip-sample,19430943.2621,230472.006583
kb,523609203.75,2884615.14793
kb-no-exc,349101200.,1479331.36222
lexifi-g2pp,9951957246.,11660276.4006
menhir-fancy,18926294.3821,1924277.05868
menhir-sql,4054401572.33,26240707.2207
menhir-standard,14477900.7653,92684.005608
minilight,15222117165.3,31174203.4838
numal-durand-kerner-aberth,87615437.1739,199450.671333
numal-fft,3613589610.25,55032077.7773
numal-k-means,239214997.471,7013990.61211
numal-levinson-durbin,1610578242.33,188493.99229
numal-lu-decomposition,936405337.6,2549307.04037
numal-naive-multilayer,2802740769.,5874851.19749
numal-qr-decomposition,1309950460.5,1721839.08515
numal-rnd_access,5531697162.25,45833049.2928
numal-simple_access,7943477859.,21821765.3466
sequence,846771755.2,1520405.56032
sequence-cps,1240625156.,1792197.6185
setrip,1001548728.6,11962175.1622
setrip-smallbuf,991009775.2,14993224.0262

