time_real,4.06.1+trunk+bench,
almabench,1599173929.33,1543088.33642
bdd,191194927.143,989103.8111
cpdf-merge,4132365879.5,1630894.41465
cpdf-reformat,6536463738.,810253.861572
cpdf-squeeze,9384992523.,3916274.13805
cpdf-transform,2135658309.67,9544641.56683
frama-c-deflate,26262834239.7,70142303.2211
frama-c-idct,180751034.,nan
jsontrip-sample,14473566.0686,330709.521929
kb,431858666.9,5138545.85803
kb-no-exc,293456864.929,3658830.12945
lexifi-g2pp,9668502838.,4590224.68227
menhir-fancy,10498309.5602,182214.655919
menhir-sql,3146099595.,19853507.516
menhir-standard,7777003.7165,68997.5520655
minilight,12513168774.7,66711933.8665
numal-durand-kerner-aberth,77000889.3462,268512.202336
numal-fft,1340199331.,3257161.88351
numal-k-means,77762003.5385,758827.471303
numal-levinson-durbin,1408530255.67,894334.184013
numal-lu-decomposition,775014196.833,21389283.8998
numal-naive-multilayer,2374793923.,5912318.13086
numal-qr-decomposition,1173870951.,775325.540224
numal-rnd_access,3991781886.5,2123112.85925
numal-simple_access,2941065032.,8762249.92036
sauvola-contrast,1668098.,nan
sequence,844639823.2,1024101.23008
sequence-cps,879147703.,32678973.3484
setrip,890828202.4,5025660.74151
setrip-smallbuf,895735542.,14113127.0818

