time_real,4.06.1+multicore+cas-promotion+bench,
almabench,1721123586.6,26973078.8189
bdd,212896084.211,926842.675783
jsontrip-sample,19276301.0865,255493.510734
kb,528003482.875,9717016.58259
kb-no-exc,358527951.667,5206565.25238
lexifi-g2pp,9960256300.,3672217.64674
menhir-fancy,19328748.2609,1945568.14401
menhir-sql,4104042539.33,20329672.6442
menhir-standard,14574508.3673,259596.414843
minilight,15167288786.5,16155139.2292
numal-durand-kerner-aberth,87843341.6522,132810.803803
numal-fft,3802374818.67,15421855.52
numal-k-means,235978959.176,3906889.09782
numal-levinson-durbin,1607842304.67,418829.980069
numal-lu-decomposition,938843139.,7212806.16341
numal-naive-multilayer,2756389308.,2029423.33206
numal-qr-decomposition,1309855981.75,1409658.03122
numal-rnd_access,5508034134.67,7559351.04427
numal-simple_access,8054275848.67,19429346.0272
sequence,845693929.8,250150.816745
sequence-cps,1250253076.8,20368908.387
setrip,995118250.8,8284224.61639
setrip-smallbuf,990451220.2,9418008.02678

