time_real,4.06.1+multicore+bench,
almabench,1677502274.,7398474.45596
bdd,205951466.95,1073811.44505
cpdf-merge,6035354677.67,50688555.7848
cpdf-reformat,7894101551.67,10715622.8053
cpdf-squeeze,12102139476.7,31605324.8521
cpdf-transform,2168652513.33,11568985.5701
jsontrip-sample,18123615.1086,312911.157136
kb,466716571.556,2503718.73924
kb-no-exc,318103994.077,1728359.22851
lexifi-g2pp,9845211645.67,15832867.7905
menhir-fancy,18377680.2844,1341518.05014
menhir-sql,3515018054.33,20880839.3244
menhir-standard,14414184.1583,244129.079843
minilight,14862191025.3,48734481.7297
numal-durand-kerner-aberth,82768998.3673,221232.730803
numal-fft,2328877670.67,9298516.01547
numal-k-means,228468098.667,2697923.36865
numal-levinson-durbin,1484558096.,3343730.08079
numal-lu-decomposition,880185397.167,21526123.7316
numal-naive-multilayer,2541488083.67,4099076.9113
numal-qr-decomposition,1159845800.5,470420.370249
numal-rnd_access,5449511580.5,1291965.40651
numal-simple_access,2576157620.8,41357939.8019
sequence,809674476.8,1302569.65471
sequence-cps,1146166787.75,6486795.33322
setrip,977879027.8,4406098.28077
setrip-smallbuf,978547455.,12515069.1306

