time_real,4.06.1+multicore+atomic-mark+bench,
almabench,1714869864.,2368844.14661
bdd,211229535.632,1260018.95769
cpdf-merge,8004250407.67,24688672.807
cpdf-reformat,9082346588.,21424297.1678
cpdf-squeeze,14083931314.7,35141584.1898
cpdf-transform,2517214126.67,2422115.48785
jsontrip-sample,19140113.2584,267781.438695
kb,545556715.5,6275354.93017
kb-no-exc,366604946.455,1977777.78543
lexifi-g2pp,9957960765.33,12920416.6836
menhir-fancy,19018872.0095,1366116.54989
menhir-sql,4287262532.75,51939085.1764
menhir-standard,14594886.6,239401.919017
minilight,15311284476.,6534626.90917
numal-durand-kerner-aberth,86904567.4043,230553.522255
numal-fft,4526638817.,12248787.0776
numal-k-means,229577992.833,3056596.6682
numal-levinson-durbin,1600514741.67,1248879.13438
numal-lu-decomposition,925262677.2,3594580.80366
numal-naive-multilayer,2757106117.,12758882.2662
numal-qr-decomposition,1308159116.25,1747085.83109
numal-rnd_access,5493859642.,2937526.63002
numal-simple_access,8517055696.33,24606056.3829
sequence,836848150.6,1013166.46186
sequence-cps,1210737490.75,2053277.42212
setrip,990675356.,11294033.7776
setrip-smallbuf,987763776.6,13524071.6877

