time_real,4.06.1+multicore+xchg-writes+bench,
almabench,1710640464.67,2212028.07262
bdd,212981178.,1331914.08771
cpdf-merge,7655187520.,3241702.75408
cpdf-reformat,8768685693.5,8349445.45447
cpdf-squeeze,13645028150.,41976869.7907
cpdf-transform,2329085398.33,7428308.21559
jsontrip-sample,21614978.0753,494034.785966
kb,516749947.875,2297873.78808
kb-no-exc,346873429.583,4631139.76697
lexifi-g2pp,9927533952.,1214348.41646
menhir-fancy,19342982.9469,1836183.46296
menhir-sql,4077459212.,19667784.6864
menhir-standard,14956830.1791,224911.255386
minilight,16503235454.,6638606.96135
numal-durand-kerner-aberth,87246759.2391,353431.346604
numal-fft,3710745344.,1109283.66248
numal-k-means,232493598.833,2956180.10845
numal-levinson-durbin,1601481661.67,1866500.26118
numal-lu-decomposition,923873743.,1746064.61852
numal-naive-multilayer,2778964697.,21180025.2591
numal-qr-decomposition,1309871242.25,2573820.82712
numal-rnd_access,6149698480.5,2171239.96099
numal-simple_access,8143700932.67,23181208.4726
sequence,836388022.6,742479.444582
sequence-cps,1608782025.33,3582896.28375
setrip,1010657279.5,11756304.8013
setrip-smallbuf,1010012057.25,12306831.8849

