time_real,4.06.1+multicore+cas-promotion+bench,
almabench,1708134532.67,1459317.8603
bdd,212650566.211,1020484.26361
cpdf-merge,7699562288.67,37517056.5169
cpdf-reformat,8813896300.33,16289616.7439
cpdf-squeeze,13802383330.3,21265948.4654
cpdf-transform,2362505892.5,29587556.7382
jsontrip-sample,19255591.5096,258581.801629
kb,524358878.625,1246345.36174
kb-no-exc,356988497.,2147167.37282
lexifi-g2pp,10003301079.7,49826456.4577
menhir-fancy,19021009.5829,1824505.67132
menhir-sql,4096388530.33,22691908.896
menhir-standard,14539616.4855,88209.570608
minilight,15171440098.3,20533401.3345
numal-durand-kerner-aberth,87794225.8261,220224.541613
numal-fft,3817486431.67,21004781.5546
numal-k-means,234308899.5,1803396.95325
numal-levinson-durbin,1611196558.33,4578623.43498
numal-lu-decomposition,936723573.6,2844236.77262
numal-naive-multilayer,2762821764.33,7224795.58148
numal-qr-decomposition,1310942642.,3097058.33001
numal-rnd_access,5526047170.,2173373.30215
numal-simple_access,8150358082.8,149749398.109
sequence,845595735.2,673807.277875
sequence-cps,1239291437.75,888176.535998
setrip,997348707.8,8843365.37532
setrip-smallbuf,993108750.8,10008190.3731

