time_real,4.06.1+multicore+bench,,4.06.1+trunk+bench,
cpdf-transform,,,1.,0.
jsontrip-sample,1.,0.,0.997047143875,0.
kb,1.,0.,0.998911129113,0.
kb-no-exc,0.988371276431,0.,1.,0.
lexifi-g2pp,1.,0.,0.990853267606,0.
menhir-fancy,0.997338451618,0.,1.,0.
menhir-sql,1.,0.,0.998232279193,0.
menhir-standard,0.985851139536,0.,1.,0.
minilight,1.,0.,0.999449071058,0.
numal-durand-kerner-aberth,,,1.,0.
numal-fft,,,1.,0.
numal-k-means,,,1.,0.
numal-levinson-durbin,,,1.,0.
numal-lu-decomposition,,,1.,0.
numal-naive-multilayer,,,1.,0.
numal-qr-decomposition,,,1.,0.
numal-rnd_access,,,1.,0.
numal-simple_access,,,1.,0.
sequence,0.978071092525,0.,1.,0.
sequence-cps,0.904086716488,0.,1.,0.
setrip,1.,0.,0.996844714897,0.
setrip-smallbuf,1.,0.,0.994741191496,0.

promoted_words,4.06.1+multicore+bench,,4.06.1+trunk+bench,
almabench,0.874316010859,0.,1.,0.
bdd,0.892386872224,0.,1.,1.31783609221e-16
cpdf-merge,,,1.,1.35470792565e-16
cpdf-reformat,,,1.,2.09248958311e-16
cpdf-squeeze,,,1.,0.
cpdf-transform,,,1.,0.
jsontrip-sample,0.925377924401,1.2020749238e-16,1.,1.80062062104e-15
kb,0.990657485828,0.,1.,1.39309067706e-16
kb-no-exc,0.985565512327,3.4849561406e-16,1.,0.
lexifi-g2pp,1.,0.,0.991370071318,0.
menhir-fancy,0.913223673526,8.69611279932e-16,1.,1.73575897121e-16
menhir-sql,1.,0.,0.998638090118,0.
menhir-standard,0.487601711681,4.77306176549e-16,1.,3.8125353838e-15
minilight,1.,0.,0.999471367519,0.
numal-durand-kerner-aberth,,,1.,4.4696045043e-16
numal-fft,,,1.,0.
numal-k-means,,,1.,1.24531452953e-16
numal-levinson-durbin,,,1.,0.
numal-lu-decomposition,,,1.,0.
numal-naive-multilayer,,,1.,0.
