time_real,4.06.1+trunk+bench,
almabench,2314445631.33,10665424.1464
bdd,319171576.462,14734710.8472
cpdf-merge,6891677052.12,466143517.542
cpdf-reformat,9379143699.5,236631669.695
cpdf-squeeze,13311091330.7,77051072.2512
cpdf-transform,3072113731.,1429092.50326
jsontrip-sample,32532646.4146,2438859.03599
kb,607970083.143,19021655.1187
kb-no-exc,432879733.6,20012588.6647
lexifi-g2pp,14407632705.,231044677.115
menhir-fancy,25044579.1687,3628392.17664
menhir-sql,4522700811.67,14803911.5975
menhir-standard,20207793.1414,2243518.17705
minilight,17101395074.,40306987.0367
numal-durand-kerner-aberth,119908804.48,15791935.3538
numal-fft,2136533631.93,332203454.768
numal-k-means,142022638.909,17416532.8207
numal-levinson-durbin,1981300130.67,16901545.6753
numal-lu-decomposition,1157153771.6,23182771.9373
numal-naive-multilayer,3444242581.29,111586270.662
numal-qr-decomposition,1825776099.,4254002.57709
numal-rnd_access,6585181374.67,15937459.696
numal-simple_access,4279703413.33,29906699.5024
sequence,1275170783.5,12001045.5045
sequence-cps,1371806529.2,30603136.1068
setrip,1324192754.83,31103060.478
setrip-smallbuf,1329493497.17,30542012.496

