time_real,4.06.1+multicore+cas-promotion+bench,
almabench,1714577925.67,8952780.40775
bdd,212342028.316,827819.727834
cpdf-merge,7672179547.67,34586867.1969
cpdf-reformat,8826152211.67,24690381.844
cpdf-squeeze,13731674858.,21000995.3756
cpdf-transform,2354343975.67,6158740.66254
jsontrip-sample,19253326.8365,247135.496532
kb,524695015.875,1793472.14525
kb-no-exc,355801207.167,1225002.60308
lexifi-g2pp,10087952771.8,276436343.41
menhir-fancy,19093130.2667,1945001.43654
menhir-sql,4088976784.,20215846.3051
menhir-standard,14877923.5836,213303.976525
minilight,15164538247.,26724970.9663
numal-durand-kerner-aberth,87744341.7391,208245.878623
numal-fft,3797363174.33,20639664.2144
numal-k-means,228899210.056,818291.636835
numal-levinson-durbin,1608681702.67,677819.691433
numal-lu-decomposition,937621025.4,8650274.5175
numal-naive-multilayer,2765582705.67,6654983.27101
numal-qr-decomposition,1308533735.5,927866.392669
numal-rnd_access,5513157773.5,4014565.51617
numal-simple_access,8063104165.33,31338731.5103
sequence,845464485.8,311838.884617
sequence-cps,1243004588.,7777660.15763
setrip,1004992520.,16861790.8059
setrip-smallbuf,996360888.2,14587493.3738

