time_real,4.06.1+multicore+atomic-mark+bench,
almabench,1709385008.67,459275.217392
bdd,211585879.895,717863.830656
cpdf-merge,7975902168.5,60529.0475763
cpdf-reformat,9035850597.,15296092.9525
cpdf-squeeze,14049649123.3,35883484.4779
cpdf-transform,2507863275.5,2639006.6531
jsontrip-sample,19105566.5714,288808.418133
kb,545575642.625,6890909.65503
kb-no-exc,368899642.545,5250307.87006
lexifi-g2pp,9932242461.5,2178493.46235
menhir-fancy,18816021.4883,1370781.4776
menhir-sql,4270834028.,37849717.9433
menhir-standard,14476140.1733,75130.4417104
minilight,15271333997.5,12167699.0363
numal-durand-kerner-aberth,86650554.2979,281601.136309
numal-fft,4498689760.5,784930.246417
numal-k-means,228407483.833,690078.505535
numal-levinson-durbin,1601586590.67,5588898.14348
numal-lu-decomposition,922798114.8,2410348.69135
numal-naive-multilayer,2769866181.,46780286.5776
numal-qr-decomposition,1307924565.25,573836.086586
numal-rnd_access,5480836577.5,1964606.38897
numal-simple_access,8500018200.,8135127.75305
sequence,836501328.8,570586.840557
sequence-cps,1213432039.5,6841337.51275
setrip,995862300.4,15953683.9771
setrip-smallbuf,988373735.6,13636709.9056

