time_real,4.06.1+multicore+scheduling+bench,
almabench,1679158619.25,13330080.9553
bdd,209948454.85,1140960.29457
cpdf-merge,31132373421.,nan
cpdf-reformat,15052909298.,nan
cpdf-squeeze,30214104244.5,22711458.7602
cpdf-transform,2862074202.67,4028681.10152
jsontrip-sample,17697644.2775,312408.494115
kb,500822915.889,4976437.64087
kb-no-exc,351070325.,nan
lexifi-g2pp,9837294780.67,23171552.4553
menhir-fancy,15631969.0391,1986140.82364
menhir-sql,7718776657.,nan
menhir-standard,11468435.9112,193554.105289
minilight,14607409528.3,98251558.9807
numal-durand-kerner-aberth,81927388.8367,199393.091615
numal-fft,2533048492.,19521154.3612
numal-k-means,90546001.4889,1157258.4605
numal-levinson-durbin,1486559085.33,4119593.91466
numal-lu-decomposition,857233887.4,3453191.93161
numal-naive-multilayer,2508891459.,12418584.0072
numal-qr-decomposition,1144487920.25,299781.799561
numal-rnd_access,5356894614.33,16471635.5701
numal-simple_access,117292396774.,228171091.47
sequence,893549838.2,765787.042643
sequence-cps,1126424109.,2094144.12707
setrip,976650549.8,9353465.56979
setrip-smallbuf,982954699.8,10256723.9118

