time_real,4.06.1+trunk+bench,
almabench,1606349800.,15007511.4474
bdd,191474483.714,1191203.09751
cpdf-merge,4119189062.33,18224773.9385
cpdf-reformat,6548107414.,27109979.5546
cpdf-squeeze,9403978238.67,13351724.7883
cpdf-transform,2138561590.,12804573.3972
frama-c-deflate,26353803850.3,147906336.171
frama-c-idct,178866757.,nan
jsontrip-sample,14477174.6101,346636.180225
kb,429375154.1,1640643.45423
kb-no-exc,294418561.929,3791333.18772
lexifi-g2pp,9655480846.5,1021487.16321
menhir-fancy,10469116.8982,316994.011942
menhir-sql,3135501313.,15487985.4483
menhir-standard,7777192.99223,69288.6145748
minilight,12486343027.7,30616261.181
numal-durand-kerner-aberth,76975112.9808,280005.662858
numal-fft,2209535937.67,5643177.83394
numal-k-means,77324592.5577,1403855.19706
numal-levinson-durbin,1407462976.67,170691.991237
numal-lu-decomposition,766946953.5,3604058.95898
numal-naive-multilayer,2377217780.67,19474490.3986
numal-qr-decomposition,1177436387.,5170745.10297
numal-rnd_access,4004975309.,2822992.30203
numal-simple_access,2955512929.,546073.111266
patdiff,219991795.368,5634553.4514
sauvola-contrast,1767387.,nan
sequence,844584402.4,290950.20318
sequence-cps,866745701.2,3443573.48462
setrip,886266021.6,2888776.64972
setrip-smallbuf,900964178.2,12683582.2909

