time_real,4.06.1+multicore+xchg-writes+bench,
almabench,1710511974.33,2781443.786
bdd,212782051.579,1173624.06216
cpdf-merge,7609207484.33,28838445.6526
cpdf-reformat,8743941348.67,7369198.88909
cpdf-squeeze,13606747365.3,18207912.3715
cpdf-transform,2327340824.67,17646048.1071
jsontrip-sample,21583806.0484,436459.563406
kb,516195200.25,2363548.19312
kb-no-exc,346184005.833,3979264.81339
lexifi-g2pp,10011175901.4,168307379.653
menhir-fancy,19279535.125,931465.6245
menhir-sql,4081401332.,19137722.5832
menhir-standard,14992200.6217,82477.9000639
minilight,16436350701.,17729134.1754
numal-durand-kerner-aberth,87233402.2174,268584.07319
numal-fft,3741001925.,58359527.0789
numal-k-means,222335261.556,1477165.40653
numal-levinson-durbin,1601708141.,280914.943227
numal-lu-decomposition,922823349.8,4057719.78531
numal-naive-multilayer,2794461135.8,64389517.962
numal-qr-decomposition,1309446869.75,2893065.2346
numal-rnd_access,6140685532.5,1516543.93443
numal-simple_access,8072452788.67,57434131.276
sequence,836152259.,459882.759544
sequence-cps,1610694437.33,4980624.01613
setrip,1032820513.4,21235000.3937
setrip-smallbuf,999401364.,5820144.63471

