time_real,4.06.1+multicore+bench,
almabench,1672135449.67,4476245.62334
bdd,207221653.25,1451053.27722
cpdf-merge,6047724549.,nan
cpdf-reformat,7913045964.,nan
cpdf-squeeze,12081513472.,8388861.70777
cpdf-transform,2162791312.,1286569.47466
jsontrip-sample,17758600.0973,294778.671276
kb,467097592.111,2326529.42932
kb-no-exc,317812701.,nan
lexifi-g2pp,9854354874.,5030756.44959
menhir-fancy,15203296.9242,746775.945986
menhir-sql,3416746699.,nan
menhir-standard,11366334.2983,77074.5005451
minilight,14546201306.,35397149.4346
numal-durand-kerner-aberth,82004167.8163,269820.524931
numal-fft,2365267974.67,20151721.408
numal-k-means,89845975.0889,1186644.57564
numal-levinson-durbin,1482927001.67,2486002.16522
numal-lu-decomposition,855363748.4,6219081.2717
numal-naive-multilayer,2520120752.67,4895446.89978
numal-qr-decomposition,1144790089.25,245090.343775
numal-rnd_access,5343639403.5,477296.370194
numal-simple_access,2490234321.,21837594.6131
sequence,894588033.4,457730.207687
sequence-cps,1135774933.25,3708183.99173
setrip,977028407.2,9519616.4228
setrip-smallbuf,973073039.2,9159213.4882

