time_real,4.06.1+multicore+bench,,4.06.1+multicore+cas-promotion+bench,,4.06.1+multicore+xchg-writes+bench,,4.06.1+trunk+bench,
almabench,0.995910052915,0.000575237949575,1.,0.00519987524125,0.996031765862,0.000648661776194,0.931169952812,0.00107927354053
bdd,0.991957657127,0.00485436290076,0.996277404055,0.0050243975393,1.,0.00558872887573,0.899049946094,0.00832409777238
cpdf-merge,,,,,,,1.,0.000740737609605
cpdf-reformat,,,,,,,1.,0.00105448192004
cpdf-squeeze,,,,,,,1.,0.000147801303823
cpdf-transform,,,,,,,1.,0.00343778846475
frama-c-deflate,,,,,,,1.,0.00464973270827
frama-c-idct,,,,,,,1.,nan
jsontrip-sample,0.880955555622,0.011186083413,0.887638923998,0.0108332560191,1.,0.0277184658241,0.669294537159,0.0180321351381
kb,0.989462771178,0.00159304834012,1.,0.00272862607394,0.985350819228,0.00339294844319,0.818036198517,0.0027224480414
kb-no-exc,0.96820156171,0.00653008128667,1.,0.00699653624961,0.969856112415,0.01264866773,0.821586908732,0.00978758185739
lexifi-g2pp,0.996054676198,0.00108834718091,0.999658777694,0.000918338372631,1.,0.00398369830055,0.972271944418,0.000637637460928
menhir-fancy,0.973402408553,0.0905115872018,0.981973629511,0.105722126523,1.,0.101808710529,0.562714988566,0.102351284364
menhir-sql,0.97446153901,0.00578232741248,1.,0.00812026532048,0.991697222005,0.00851960326795,0.764750337209,0.00323197054721
menhir-standard,0.970306213263,0.00822251691248,0.977210806318,0.0112105472695,1.,0.00618081566625,0.521848366611,0.00762617682759
minilight,0.925439938831,6.85755130551e-05,0.926284230206,0.0041538135037,1.,0.000806911872304,0.760842372452,0.000198916235316
numal-durand-kerner-aberth,0.989412773279,0.0030227173087,1.,0.00214135823874,0.992763487929,0.00315858028425,0.877455935466,0.00227609062054
numal-fft,0.940948092444,0.0037947350106,1.,0.00417644745877,0.978549700445,0.00354295394826,0.353486353198,0.00228981724343
numal-k-means,0.998036959659,0.0270941396684,1.,0.010465978442,0.986677320398,0.00453842693193,0.329894883173,0.00362606489195
numal-levinson-durbin,0.991614061111,0.00217802136753,1.,0.00378713724072,0.992089918972,0.000825430872894,0.873391609223,0.000740876620369
numal-lu-decomposition,0.97340819629,0.00318111176654,1.,0.0219206940383,0.97875168104,0.00654923908897,0.819321383927,0.0170009309065
numal-naive-multilayer,0.998311890917,0.00377214728835,1.,0.0047322952965,0.998063933963,0.00285228426748,0.855310054221,0.00206015916623
numal-qr-decomposition,0.999792711401,0.00149862298502,1.,0.000630349432827,0.998856013822,0.000507049427639,0.89790363885,0.00230839623641
numal-rnd_access,0.893422083728,6.74542207549e-05,0.900493801542,0.00586714665047,1.,0.000272008787793,0.651178252987,0.000444208433104
numal-simple_access,0.984991713962,0.00208213412659,1.,0.00659223759529,0.997598975273,0.00438805463336,0.362107256978,0.000543858211648
sauvola-contrast,,,,,,,1.,nan
sequence,0.990207609773,0.00125788457856,1.,0.000505912919234,0.989008620994,0.000836406316254,0.999062858758,0.000651652329546
sequence-cps,0.766444912944,0.00663007938562,0.771004941637,0.000384937792887,1.,0.000827724958289,0.539816368432,0.00114491331466
setrip,0.992422100334,0.0157657938988,1.,0.0102548888776,,,0.898162204062,0.00417685426412
setrip-smallbuf,0.99342058954,0.0103597485294,1.,0.0119665742448,,,0.901540134552,0.0119146648728

size,4.06.1+multicore+bench,,4.06.1+multicore+cas-promotion+bench,,4.06.1+multicore+xchg-writes+bench,,4.06.1+trunk+bench,
almabench,0.988605364856,0.,1.,0.,0.988496249148,0.,0.821142305069,0.
bdd,0.987531106659,0.,1.,0.,0.987426188283,0.,0.818081370759,0.
cpdf-merge,,,,,,,1.,0.
cpdf-reformat,,,,,,,1.,0.
cpdf-squeeze,,,,,,,1.,0.
cpdf-transform,,,,,,,1.,0.
frama-c-deflate,,,,,,,1.,0.
frama-c-idct,,,,,,,1.,0.
jsontrip-sample,0.985467624049,0.,1.,0.,0.985413951595,0.,0.786194662163,0.
kb,0.98606208054,0.,1.,0.,0.98596175511,0.,0.823118950429,0.
kb-no-exc,0.985931876613,0.,1.,0.,0.985831992001,0.,0.823413369347,0.
lexifi-g2pp,0.986596331876,0.,1.,0.,0.986509064861,0.,0.820250856308,0.
menhir-fancy,0.980749326967,0.,1.,0.,0.980734158693,0.,0.775337476326,0.
menhir-sql,0.980749326967,0.,1.,0.,0.980734158693,0.,0.775337476326,0.
menhir-standard,0.980749326967,0.,1.,0.,0.980734158693,0.,0.775337476326,0.
minilight,0.987209395543,0.,1.,0.,0.987154424059,0.,0.765788268169,0.
numal-durand-kerner-aberth,0.986131345933,0.,1.,0.,0.98604011104,0.,0.802507819115,0.
numal-fft,0.987715888351,0.,1.,0.,0.987610530117,0.,0.8187498148,0.
numal-k-means,0.998959271415,0.,1.,0.,0.998952499237,0.,0.593664302847,0.
