time_real,4.06.1+trunk+bench,
almabench,1599932248.,1854403.20179
bdd,191414434.095,1772262.4548
cpdf-merge,4136040079.5,3063720.44172
cpdf-reformat,6543028563.,6899505.32197
cpdf-squeeze,9364101878.5,1384026.46678
cpdf-transform,2131513752.,7327693.38909
frama-c-deflate,26408980865.7,122794702.123
frama-c-idct,181276693.,nan
jsontrip-sample,14528741.9674,391433.403379
kb,428778002.5,1426985.54809
kb-no-exc,293101023.5,3491718.56258
lexifi-g2pp,9685098437.5,6351701.92041
menhir-fancy,10933204.5847,1988622.22297
menhir-sql,3147512531.67,13301946.1442
menhir-standard,7795464.29961,113921.194365
minilight,12469672267.,3260097.42988
numal-durand-kerner-aberth,77061624.0192,199895.211308
numal-fft,1341520406.67,8690113.58375
numal-k-means,77541900.7885,852307.745424
numal-levinson-durbin,1410168726.,1196211.44609
numal-lu-decomposition,775640512.333,16094552.1711
numal-naive-multilayer,2367426313.33,5702347.34846
numal-qr-decomposition,1175956770.,3023235.5284
numal-rnd_access,3993843230.,2724444.24415
numal-simple_access,2933917416.33,4406526.10082
sauvola-contrast,1731097.,nan
sequence,844814126.2,551041.497085
sequence-cps,867126821.2,1839116.22756
setrip,896504212.8,4169143.86634
setrip-smallbuf,892734688.2,11798292.9685

