time_real,4.06.1+multicore+bench,
almabench,1711168412.33,988371.395596
bdd,211195178.211,1033530.04088
jsontrip-sample,19123383.2667,242822.420489
kb,518632147.75,835004.717883
kb-no-exc,345405782.,2329605.65501
lexifi-g2pp,9922005508.33,10841359.3973
menhir-fancy,18912607.434,1758584.22162
menhir-sql,4010629033.33,23798548.5033
menhir-standard,14494607.8768,122829.429285
minilight,15167310809.5,1123904.5094
numal-durand-kerner-aberth,86894112.9149,265466.897361
numal-fft,3571003678.67,14401445.5114
numal-k-means,234588915.611,6368486.44002
numal-levinson-durbin,1601049429.,3516609.94291
numal-lu-decomposition,921512421.,3011515.63817
numal-naive-multilayer,2763243373.33,10440986.5219
numal-qr-decomposition,1309397753.5,1962700.41535
numal-rnd_access,5479586771.,413714.035537
numal-simple_access,7980741310.33,16870166.1163
sequence,837326069.4,1063675.47525
sequence-cps,1231168560.,10650139.5626
setrip,990590107.,15736690.5271
setrip-smallbuf,983717736.2,10258563.6721

