time_real,4.06.1+multicore+xchg-writes+bench,
almabench,1711377539.,1114527.90185
bdd,212907452.947,1189882.03015
jsontrip-sample,21707546.0216,601699.872526
kb,516476846.375,1778431.88198
kb-no-exc,345996042.75,4512410.57783
lexifi-g2pp,9961306086.33,39682838.1274
menhir-fancy,19429382.2039,1978080.34854
menhir-sql,4081566600.25,35064460.5775
menhir-standard,14938178.9776,92330.1306501
minilight,16389297860.5,13224719.0224
numal-durand-kerner-aberth,87188385.8261,277398.917098
numal-fft,3713706003.67,13445908.105
numal-k-means,231918828.667,1066758.74299
numal-levinson-durbin,1601817744.,1332731.83545
numal-lu-decomposition,926571026.,6200076.38274
numal-naive-multilayer,2762557049.33,7894883.02471
numal-qr-decomposition,1308170989.5,664067.034988
numal-rnd_access,6133256465.,1668299.65627
numal-simple_access,8082889673.33,35553526.378
sequence,836312196.6,707270.683741
sequence-cps,1606336658.,1329604.94324

