time_real,4.06.1+trunk+bench,
almabench,1602292928.67,1877290.01266
bdd,191119266.905,1172527.93479
cpdf-merge,4118476268.33,7408622.66253
cpdf-reformat,6528552403.,330149.57035
cpdf-squeeze,9387509214.67,20601956.97
cpdf-transform,2136051209.67,5519662.40756
frama-c-deflate,26673159160.5,29274169.1223
frama-c-idct,180794229.,nan
jsontrip-sample,14532908.2464,359501.391214
kb,431632509.9,4601530.50563
kb-no-exc,292156288.571,1472845.78646
lexifi-g2pp,9691068228.,47241563.7522
menhir-fancy,10587945.1958,602411.219216
menhir-sql,3161737912.,17713618.0284
menhir-standard,7710158.64547,73233.753747
minilight,12478311073.7,36522813.0061
numal-durand-kerner-aberth,76994693.1346,295681.643809
numal-fft,2203017545.33,13221489.7336
numal-k-means,77155026.6154,976419.625285
numal-levinson-durbin,1410977729.67,2423289.53391
numal-lu-decomposition,774157292.667,14709649.3845
numal-naive-multilayer,2373291031.,3196395.07283
numal-qr-decomposition,1174483801.5,1066780.91923
numal-rnd_access,4013260550.5,2620641.67577
numal-simple_access,2963824293.,3126182.51497
patdiff,219683087.737,5814509.13183
sauvola-contrast,1780242.,nan
sequence,844345433.6,992294.744406
sequence-cps,872843277.4,20816141.6496
setrip,896697644.,11864805.6936
setrip-smallbuf,901086034.8,9722782.90288

