time_real,4.06.1+multicore+atomic-mark+bench,
almabench,1714177771.67,5627619.97317
bdd,212251580.737,2847023.38136
cpdf-merge,7992368295.,7931425.84574
cpdf-reformat,9044944155.5,424604.187074
cpdf-squeeze,14064162987.,7541248.56652
cpdf-transform,2508427314.,13298887.825
jsontrip-sample,19164590.0239,284959.291984
kb,542330512.625,563360.330381
kb-no-exc,367345757.091,2805096.64709
lexifi-g2pp,9959549829.,31851135.7811
menhir-fancy,18930532.1509,1359912.2806
menhir-sql,4260374739.,20793124.9495
menhir-standard,14588990.8582,130452.315305
minilight,15275469743.3,20092087.5302
numal-durand-kerner-aberth,86832573.2553,220910.571296
numal-fft,4504155749.33,13598546.9863
numal-k-means,228190610.111,922151.230369
numal-levinson-durbin,1604355834.67,2054941.80338
numal-lu-decomposition,923132078.6,3801866.10761
numal-naive-multilayer,2742425579.5,2758305.46658
numal-qr-decomposition,1307829650.5,349886.204667
numal-rnd_access,5519587551.5,53178466.7404
numal-simple_access,8531622245.67,23142735.6908
sequence,836842651.4,949196.927867
sequence-cps,1210198480.,692127.70372
setrip,995066332.8,10374977.4853
setrip-smallbuf,987357396.8,11870889.8132

