time_real,4.06.1+multicore+xchg-writes+bench,
almabench,1710616252.,1769266.08942
bdd,213129138.842,719004.167236
cpdf-merge,7628561127.67,34564610.6265
cpdf-reformat,8765599563.,20244824.5273
cpdf-squeeze,13640069918.7,44614500.1229
cpdf-transform,2321505738.,18237637.1738
jsontrip-sample,21652301.7081,606512.678686
kb,519741636.125,6059220.68668
kb-no-exc,345094710.667,1426112.58532
lexifi-g2pp,9931507547.5,10580628.9786
menhir-fancy,19249645.3702,1376269.35749
menhir-sql,4059735113.67,21716834.5203
menhir-standard,14955365.9851,105634.491044
minilight,16515504085.,47871163.0672
numal-durand-kerner-aberth,87216775.6304,294179.196202
numal-fft,3702983453.33,20225192.4916
numal-k-means,232782413.556,2818649.38604
numal-levinson-durbin,1602023877.67,326595.189814
numal-lu-decomposition,924490166.2,3665230.75541
numal-naive-multilayer,2766090346.5,60987.2527706
numal-qr-decomposition,1308577293.75,382895.530663
numal-rnd_access,6152735692.5,1307824.3974
numal-simple_access,8149146998.33,39439368.4087
sequence,836451110.2,243573.873559
sequence-cps,1607404437.,1845262.49988
setrip,1008407476.25,13773946.7181
setrip-smallbuf,1005819193.,13898288.7622

