time_real,4.06.1+multicore+cas-promotion+bench,
almabench,1713883336.67,9139859.26882
bdd,213782892.,6132312.92531
cpdf-merge,7667624579.,5944177.19053
cpdf-reformat,8806801580.,5674684.65409
cpdf-squeeze,13770331255.5,8427592.0675
cpdf-transform,2344377623.33,5948127.02295
jsontrip-sample,19277845.6971,248146.298227
kb,523931831.125,1096465.70988
kb-no-exc,358947188.25,4585317.56718
lexifi-g2pp,9987318708.67,51397396.2047
menhir-fancy,18970463.6588,1704510.61339
menhir-sql,4102810798.33,20232299.8578
menhir-standard,14698500.641,493406.367782
minilight,15123390440.7,41074268.9327
numal-durand-kerner-aberth,87897626.5,228996.768631
numal-fft,3792477034.,13494757.9498
numal-k-means,235425711.706,1982780.18366
numal-levinson-durbin,1609362435.,300611.756184
numal-lu-decomposition,936669410.,2328789.20644
numal-naive-multilayer,2777494317.25,25848251.0944
numal-qr-decomposition,1310366249.25,2063610.19009
numal-rnd_access,5535091816.,14644416.437
numal-simple_access,8111736791.33,47007462.4476
sequence,845609362.4,327293.40502
sequence-cps,1247083554.5,15881335.2749
setrip,996731706.2,8386900.36269
setrip-smallbuf,994603195.6,12959492.0398

